ticker,date,pattern,status,rs_1m_pct,rs_3m_pct,rs_6m_pct
TSLA,2013-05-09,UT,OK,37.74444444444445,42.42331405813198,77.1
FANG,2013-11-05,UT,OK,15.540099978265598,25.971563981042635,86.26489138051856
CLF,2013-04-25,DT,OK,-15.881809787626967,-50.99515868746638,-60.209652762611924
GRPN,2012-05-15,DT,OK,-10.556402439024382,-39.66580976863754,-51.92544039328144
FSLR,2013-11-01,U,OK,17.045137273150313,6.355179704016911,9.360869565217378
FSLR,2012-08-02,DT SW,OK,-3.141361256544495,-18.725974739154307,-65.32333645735707
PHM,2012-07-26,UT,OK,8.559046587215601,15.172413793103456,25.406758448060064
CIEN,2012-05-31,DT SW,OK,-19.83805668016194,-20.188108834397035,2.857142857142847
BBY,2013-03-01,DT U,OK,2.6266416510319024,27.307990690457707,-5.199306759098777
ILMN,2014-04-23,UTU,OK,-3.027522935779825,4.801699716713892,81.72663637480042
FCEL,2014-03-10,UT,OK,155.79710144927535,133.7748344370861,159.55882352941177
GOGO,2014-05-12,DT,OK,-38.378099173553714,-42.69932756964457,-33.86917960088691
VIPS,2014-03-04,UT,OK,20.699102503542743,58.33436609245257,215.4567901234568
MTZ,2014-10-31,DT,OK,-10.483598241460946,-2.5046040515653734,-33.30813807004284
FANG,2014-11-05,DT SW,OK,-13.96512099499797,-18.950585838003054,-15.953512942419435
PLUG,2014-03-13,UTU,OK,91.5492957746479,304.76190476190476,905.9171597633135
ANGI,2014-04-24,DT SW,OK,1.5847860538827252,-20.864197530864203,-16.536458333333336
GOGO,2013-11-11,UDS,insufficient_history,,,
GBX,2015-01-07,U,OK,-4.178002331908271,-21.854199683042786,-24.786455155582676
W,2015-03-04,DT SW,insufficient_history,,,
PAYC,2015-02-11,UT,OK,24.65591820684232,47.923471768548765,127.89360172537742
CMCM,2015-03-23,DT SW,OK,-15.108958837772391,17.179144385026746,-28.21457821457821
CLF,2015-02-03,DT,OK,-2.3809523809523836,-33.61904761904763,-59.8270893371758
ENPH,2015-02-18,SW,OK,35.540408958130485,30.827067669172912,10.126582278481
CMCM,2014-11-10,U,OK,18.753674309229872,-24.48598130841122,39.3103448275862
FRO,2015-02-26,DT SW,OK,-25.46012269938649,80.0,-5.813953488372093
NOG,2014-11-07,DT SW,OK,-20.666666666666668,-34.814363968350584,-24.52431289640593
FTK,2014-10-23,DT U,OK,-18.573046432616092,-32.467125860989356,-28.147901399067297
SEDG,2015-05-08,UT,insufficient_history,,,
NHTC,2015-07-29,DT,insufficient_history,,,
FRPT,2015-05-08,UTU,insufficient_history,,,
FTK,2015-07-23,DT SW,OK,11.800699300699291,-17.802056555269928,-20.90290661719233
ASPS,2015-07-23,DT SW,OK,-3.1611893583724515,71.22302158273382,25.21246458923512
SHAK,2015-05-14,UT,insufficient_history,,,
SM,2015-07-29,DT,OK,-27.793030623020066,-38.117647058823536,-10.120925341745535
SHOP,2015-07-30,U,insufficient_history,,,
GEVO,2015-05-13,DT SW,OK,60.82474226804124,128.2370153621068,-4.878048780487809
W,2015-05-11,UTU,OK,-6.101281269066505,43.83177570093459,20.99056603773586
ASPS,2015-10-22,DT SW,OK,24.637112593173804,-19.650986342943856,41.325622775800696
HLX,2015-10-20,DT,OK,-13.976705490848584,-45.00000000000001,-68.83664858348403
SHAK,2015-08-11,DT U,OK,39.88118811881187,8.177641653905066,70.21686746987952
AU,2015-08-17,DT,OK,-21.580928481806772,-43.07832422586522,-49.310624493106246
GFI,2015-08-20,DT U,OK,5.902777777777768,-14.804469273743026,-28.904428904428915
RMTI,2015-08-05,DT,OK,-17.625681405208958,41.66666666666667,28.54442344045369
NVAX,2015-08-11,UTU,OK,-6.594323873121866,31.338028169014077,39.352428393524285
MNKD,2015-08-10,DT,OK,-22.41715399610137,4.461942257217832,-42.898134863701586
YELP,2015-10-29,DT SW,OK,4.3992431409650035,-15.213215520553213,-43.97055090124397
LGIH,2015-11-04,UT,OK,1.635434412265746,28.522188711762155,76.61338069863824
RRC,2015-10-29,DT,OK,-7.2095268747988435,-27.653701380175665,-54.641283826305866
LSCC,2015-10-30,DT SW,OK,15.58441558441559,-9.55284552845528,-27.287581699346408
PACB,2015-10-23,U,OK,65.04629629629628,26.19469026548671,23.784722222222232
HUN,2015-10-27,DT,OK,-16.391085549964046,-38.33510074231177,-49.16958041958041
GBX,2015-10-30,DT,OK,10.93117408906883,-22.142076502732245,-42.852558960372214
PCRX,2015-10-27,DT SW,OK,-13.628727425451482,-31.036217303822934,-49.90865911582024
CMCM,2015-11-17,DT SW,OK,-4.078212290502803,-22.025431425976382,-50.56147422977253
SEDG,2015-11-05,DT,OK,-29.50348789495282,-37.2992700729927,-34.89958317544525
ANF,2015-08-26,DT,OK,-13.476953907815636,-12.111959287531803,-30.530973451327437
SUPN,2015-11-04,UDS,OK,18.454363757495006,-7.492195629552533,44.435418359057685
ICON,2015-11-09,DT,OK,-55.79756566303651,-52.642415923129725,-74.88168911539861
SUNE,2015-11-10,DT,OK,-19.999999999999996,-44.569288389513105,-73.19811662441144
LXRX,2015-11-06,DT,OK,-12.82051282051283,-7.381370826010558,44.78021978021975
XPO,2015-11-05,DT SW,OK,-0.781097642337325,-33.95597338179631,-42.95947931480093
