ticker,date,pattern,status,price_vs_sma200_pct,sma200_slope_pct,sma200_slope_negative,price_vs_sma50_pct,sma50_slope_pct,sma50_slope_negative
TSLA,2013-05-09,UT,OK,60.69502727291582,5.619253285336412,False,29.092744342842213,13.675631184495352,False
FSLR,2012-08-02,DT SW,OK,-49.91485525393168,-14.549018524845614,True,3.735166922500044,-5.739497430598417,True
BBY,2013-03-01,DT U,OK,-2.19101659355333,-3.061118365554605,True,13.381974960616883,11.270680853681014,False
CIEN,2012-05-31,DT SW,OK,-12.432486220831551,-1.5577211231120325,True,-18.43740345336583,-6.35768657100243,True
PHM,2012-07-26,UT,OK,25.605620914213347,9.003272550881668,False,3.311749907204997,5.9121584729289856,False
GOGO,2013-11-11,UDS,insufficient_history,,,,,,
GRPN,2012-05-15,DT,insufficient_history,,,,,,
FSLR,2013-11-01,U,OK,24.465263704684826,4.249587027457125,False,17.964204127363637,4.956324333051465,False
FANG,2013-11-05,UT,OK,55.493837723050696,9.549757110447455,False,15.433723323865877,8.724413910333562,False
CLF,2013-04-25,DT,OK,-47.105781962194925,-7.988415862088738,True,-18.350153261512546,-24.613690263035217,True
FCEL,2014-03-10,UT,OK,148.60205360789897,6.805369077034773,False,109.07367922293298,11.622372074573573,False
VIPS,2014-03-04,UT,OK,99.23353722958407,14.07870404549929,False,28.217479968527705,13.671385710537432,False
MTZ,2014-10-31,DT,OK,-22.61433169713465,-1.787647259811831,True,-8.302963958596044,-2.2537958310194783,True
FTK,2014-10-23,DT U,OK,-19.70129028895624,1.280799321330961,False,-15.103473791100242,-9.685698239028607,True
PLUG,2014-03-13,UTU,OK,357.0076750406602,50.4910879993689,False,71.47987128922601,56.17819724828814,False
ILMN,2014-04-23,UTU,OK,33.929975475283754,6.824801807378433,False,-5.9887539729884365,0.5857239531446234,False
GOGO,2014-05-12,DT,OK,-39.08256089969492,1.3354874842241404,False,-38.572199600291924,-8.467541403915579,True
ANGI,2014-04-24,DT SW,OK,-23.710297889863753,-7.7716503324023245,True,-3.6488670098831277,-11.103464863636992,True
FANG,2014-11-05,DT SW,OK,-12.48663913759076,2.2565955684408,False,-12.272721006851095,-7.2382857055174,True
CMCM,2014-11-10,U,insufficient_history,,,,,,
NOG,2014-11-07,DT SW,OK,-27.76130879511124,-2.4178579891004026,True,-20.346874116824587,-13.876327487477747,True
GBX,2015-01-07,U,OK,-15.810501064960436,0.7764242330390969,False,-11.787646334831269,-7.202146167842017,True
FRO,2015-02-26,DT SW,OK,8.41680237356952,-2.988659972299179,True,-15.336910319838326,23.07890222984559,False
CLF,2015-02-03,DT,OK,-44.65728407805148,-8.955364146012624,True,-6.992260475046718,-13.784772554704194,True
ENPH,2015-02-18,SW,OK,18.891033634546737,4.8598034583978045,False,7.9061402624786,6.113400620223897,False
SEDG,2015-05-08,UT,insufficient_history,,,,,,
W,2015-03-04,DT SW,insufficient_history,,,,,,
W,2015-05-11,UTU,insufficient_history,,,,,,
PAYC,2015-02-11,UT,insufficient_history,,,,,,
CMCM,2015-03-23,DT SW,insufficient_history,,,,,,
FRPT,2015-05-08,UTU,insufficient_history,,,,,,
SHAK,2015-05-14,UT,insufficient_history,,,,,,
GEVO,2015-05-13,DT SW,OK,-3.2372114949230535,-15.281215350579869,True,41.314588013624174,-0.3025459011803955,True
ASPS,2015-07-23,DT SW,OK,-14.080973267630537,-16.672297336384688,True,4.121796252423016,9.285630222431429,False
FTK,2015-07-23,DT SW,OK,-21.998402156478882,-7.523764674034117,True,4.019258608630594,-6.160421277570006,True
NHTC,2015-07-29,DT,insufficient_history,,,,,,
SHOP,2015-07-30,U,insufficient_history,,,,,,
MNKD,2015-08-10,DT,OK,-28.049425344499536,-1.077023498694496,True,-26.331766186650874,4.640712763896926,False
SM,2015-07-29,DT,OK,-27.36674165800974,-7.836395853116529,True,-24.90005711022274,-13.045305218122072,True
RMTI,2015-08-05,DT,OK,21.157589498487738,6.165115575227942,False,-7.022533362502747,19.35699714402286,False
SHAK,2015-08-11,DT U,insufficient_history,,,,,,
NVAX,2015-08-11,UTU,OK,36.41475449306195,9.994904492762346,False,3.4415818519648367,14.45969252256354,False
GFI,2015-08-20,DT U,OK,-23.868004592881032,-2.484026045153054,True,2.9362132973337784,-9.543289778971776,True
AU,2015-08-17,DT,OK,-34.51966243576378,-4.307484084415281,True,-19.510624597553118,-16.93410355156184,True
ANF,2015-08-26,DT,OK,-26.910762993230662,-5.788384555270265,True,-16.364798636266787,-4.826607179071196,True
CMCM,2015-08-18,DT,OK,0.35407272881420315,3.500487237157479,False,-19.13446187921585,-7.700170583901411,True
ASPS,2015-10-22,DT SW,OK,23.531796217251877,-4.868810299498882,True,15.014517098318025,-7.753087409247872,True
HLX,2015-10-20,DT,OK,-60.04189032001268,-11.144571073423826,True,-15.833686061276985,-20.934483202471366,True
RRC,2015-10-29,DT,OK,-38.5833263210816,-4.225830573002787,True,-17.500343390870366,-6.023837184286418,True
HUN,2015-10-27,DT,OK,-41.35355786734709,-5.297290585698622,True,-15.847816963575045,-16.593037852452674,True
PACB,2015-10-23,U,OK,20.628690341245548,-1.3502236464383532,True,32.41466404189723,10.092005724800668,False
YELP,2015-10-29,DT SW,OK,-42.994923267860585,-7.312936163081574,True,-5.4801795319833975,-8.023918130037133,True
GBX,2015-10-30,DT,OK,-29.524308870301585,-2.812149671087405,True,-3.6714118817878894,-8.317423795379387,True
PCRX,2015-10-27,DT SW,OK,-46.064003262649145,-6.3309509815301706,True,-20.126926916041022,-15.03336347376132,True
LGIH,2015-11-04,UT,OK,46.69632066645275,8.988184407920642,False,3.416595884830742,12.413432946339164,False
TDW,2015-11-04,DT,OK,-42.575826011562,-7.043950317216197,True,-16.552324660931962,-8.052502608147128,True
LSCC,2015-10-30,DT SW,OK,-20.734585548757146,-4.142299778883807,True,7.1359784283513195,-1.24114318322317,True
SUPN,2015-11-04,UDS,OK,21.23257665250129,5.151828556781779,False,4.170938768814336,-6.273303863155865,True
SEDG,2015-11-05,DT,insufficient_history,,,,,,
XPO,2015-11-05,DT SW,OK,-31.320405802575245,-2.7213060062682537,True,-4.796797210855209,-14.38563207487511,True
SUNE,2015-11-10,DT,OK,-64.57202770084429,-5.088323166229314,True,-19.828389417347402,-21.214449110587587,True
LXRX,2015-11-06,DT,OK,19.20514821475021,4.8763051714377115,False,-9.658949678149288,-2.0238665087882968,True
ICON,2015-11-09,DT,OK,-71.62382652699284,-7.069841388133302,True,-52.06102839515607,0.43612359393754296,False
CMCM,2015-11-17,DT SW,OK,-23.5155240767963,0.1977263699134646,False,-2.8505471375708913,-0.7836797017975017,True
GFI,2015-11-19,DT,OK,-36.191484356621984,-8.468691544765772,True,-18.78742514970059,-6.703910614525121,True
CLLS,2015-11-17,DT,insufficient_history,,,,,,
VIPS,2015-11-18,DT,OK,-44.67331646598049,-1.3615041877359957,True,-30.712998086727637,1.440479262259231,False
KMI,2016-01-21,DT,OK,-61.96827628574777,-7.788735992991924,True,-34.46970110326614,-24.704403342563463,True
FCX,2016-01-26,DT,OK,-70.10327270519853,-9.226975610092092,True,-41.276418159596986,-27.951978007817534,True
CRUS,2016-01-28,UDS,OK,-12.202543331546101,-1.6771009494669697,True,-7.100375452702934,-3.972305532512288,True
MUR,2016-01-28,DT,OK,-44.682641815531554,-8.124161233655446,True,-21.257108130398926,-14.63098290915018,True
ANF,2015-11-20,DT SW,OK,-9.133504747296495,-2.6213938242431345,True,-6.9049848105619205,3.961703860401844,False
CMPR,2016-01-28,UDS,OK,-11.781023787974243,-1.2345762906617819,True,-13.73299309325694,-1.5768897814604443,True
MSTR,2016-01-28,DT,OK,-22.310645839474276,-0.7405819808100622,True,-15.212858063263745,-5.608788807377807,True
FTNT,2016-01-29,DT,OK,-32.13750136767649,-1.5838630295774925,True,-15.970404751051149,-8.778199752243477,True
STX,2016-01-29,DT,OK,-41.058479989513664,-4.77449671821204,True,-20.313207367342567,-7.451520873244477,True
CNX,2016-01-29,DT,OK,-57.33613124038088,-11.991155365188854,True,-7.106682814048238,-8.097032858624441,True
MTW,2016-01-29,DT,OK,-17.91392387263474,-4.246706761517938,True,-6.097936969664475,-3.6562056050626235,True
NHTC,2016-02-03,DT,OK,-33.78375608056066,0.5106377342078527,False,-35.583127964785824,-23.36587964560034,True
CSTE,2016-02-10,DT SW,OK,-34.07841921381024,-4.706562378236267,True,-17.37390914259782,-3.2955004035512547,True
MXL,2016-02-09,UDS,OK,7.083954767484979,5.306763505821155,False,-12.04075812180767,-2.3742627888728607,True
ABG,2016-02-04,DT,OK,-42.68683363141675,-4.2044861699808145,True,-27.6269650399813,-14.767848418432383,True
PTEN,2016-02-04,DT SW,OK,-21.506710274049844,-4.096995392502556,True,-8.678674896082628,-6.962420896377508,True
CRTO,2016-02-10,DT,OK,-38.15277736543658,-2.9237858196041855,True,-25.947833604440863,-9.248008919216065,True
KGC,2016-02-11,DT U,OK,28.317148064008755,-2.521110651449132,True,38.276121812116635,-1.6509683564398414,True
PAYC,2016-02-10,DT,OK,-38.62855272489226,-0.5095014213122195,True,-35.788037739510614,-12.163219059269448,True
HUBS,2016-02-11,DT,OK,-41.38241815691709,0.44106406833199774,False,-42.18226126291144,-8.505204405437194,True
TSLA,2016-02-11,DT,OK,-38.97026434770664,-0.8984189138032117,True,-31.662262314456036,-6.134116602610174,True
TRIP,2016-02-11,DT,OK,-29.94378101212224,-2.112521225048436,True,-28.641577211520275,-7.561381151768909,True
WYNN,2016-02-12,DT SW,OK,-26.23501359072605,-7.837405115066343,True,-5.6618683659858,-3.063785194922186,True
NBR,2016-02-17,DT,OK,-42.2251568174315,-7.461609942589941,True,-15.81591747287402,-16.01840421950399,True
GRPN,2016-02-12,DT,OK,-46.26074335306571,-10.04386367192348,True,-20.64616692645601,-4.824842374995786,True
P,2016-02-12,DT,OK,-45.06197316414894,-4.846292177225742,True,-24.41440965806101,-11.56090955782788,True
SHOP,2016-02-17,DT,insufficient_history,,,,,,
CPA,2016-02-18,DT SW,OK,-14.252264563329863,-8.580673394228644,True,10.422300982583522,-2.612958961551237,True
CLDX,2016-02-25,DT,OK,-59.868623777110216,-10.082675231834715,True,-38.31151338828727,-23.918894915902676,True
TK,2016-02-18,DT SW,OK,-77.9309161803661,-12.49442516002861,True,-31.477384464110138,-47.09497025067464,True
NXST,2016-02-25,DT,OK,-21.66727759290272,-3.3115525134886914,True,-15.340430071443823,-12.928901233677214,True
TREE,2016-02-25,DT SW,OK,-21.777356255826298,0.7002501416267792,False,-8.247493007708574,-17.26205465297014,True
ANET,2016-02-19,SW,OK,-18.763027163556913,-0.943640616378727,True,-12.41641435537959,-6.958291685108497,True
PODD,2016-02-26,DT SW,OK,-6.393451359673296,-0.17080538191797112,True,-10.694229426585322,-8.076478762410188,True
WDAY,2016-03-01,DT U,OK,-20.573239159955246,-4.098454644885862,True,-8.950422036257155,-13.757735413776462,True
PANW,2016-02-26,UTU,OK,-16.607393147972914,-1.04502522243749,True,-8.39675097731758,-11.124026724176883,True
HALO,2016-03-01,DT,OK,-51.078911580999595,-4.477766361787872,True,-27.692198228325438,-24.250835399374793,True
UNFI,2016-03-08,DT,OK,-24.923222814561296,-6.352723440600849,True,0.10767234477238041,-6.5143889534133415,True
SSYS,2016-03-03,DT,OK,-24.540842404506602,-8.13885098281576,True,7.041474087662314,-12.67004367437532,True
EXEL,2016-03-01,DT,OK,-26.62917498135493,2.2959946388988905,False,-20.888483188802674,-9.196581871287323,True
SUPN,2016-03-03,DT U,OK,-15.345992389370444,-0.3092907143353196,True,6.776344687138103,-6.805647556174133,True
PACB,2016-04-22,UDS,OK,12.273953441902275,4.457634857478321,False,4.109969774524891,-10.761233516597057,True
ASPS,2016-03-10,DT SW,OK,-21.702282836039398,-0.42508842188324625,True,-19.316958252939344,0.42016806722686706,False
BOX,2016-03-10,DT,OK,-9.287851672595803,-4.075200250204148,True,11.201904288201225,-7.936611771632284,True
DDD,2016-03-14,DT U,OK,-7.428557688839721,-8.796289527930877,True,26.398038915275013,5.7052957915924685,False
CLF,2016-04-28,DT U,OK,62.05444427733491,-2.310376492194677,True,43.91612127687989,36.82383040935675,False
KN,2016-04-26,DT SW,OK,-14.648227359802657,-3.611075101888539,True,4.2785463522547085,2.2924421560106767,False
GNW,2016-04-29,DT SW,OK,-29.757343550447,-10.876655357338317,True,7.900098090998275,8.426736480405793,False
INO,2016-05-09,DT U,OK,25.95812876266521,3.13718809354655,False,4.570281499463125,20.430651599482765,False
HALO,2016-05-10,DT SW,OK,-30.60785944521983,-7.805439915752066,True,-2.885460794500838,14.182714246600359,False
SSYS,2016-05-09,DT,OK,-16.910703664944204,-3.392992757206814,True,-15.350295429880633,16.37556015005943,False
CSIQ,2016-05-11,DT SW,OK,-26.37420334959276,-4.042686639803772,True,-18.435394607028478,-3.8135980269768277,True
PTCT,2016-05-06,DT SW,OK,-73.2621100198105,-14.422275047413802,True,0.6569033371859989,-49.34749260788048,True
CLF,2016-07-28,UT,OK,141.11187898333716,13.422982459196287,False,48.05733685401734,25.776913222944465,False
RIG,2016-08-04,DT SW,OK,-7.782047944510384,-2.5770315347845463,True,-6.628066977608604,5.62885780621778,False
IRWD,2016-05-10,DT SW,OK,-5.3922703077991185,-0.8408220963641022,True,-4.689962603400188,8.22903629536922,False
YRD,2016-08-10,UT,insufficient_history,,,,,,
GPRO,2016-07-28,DT SW,OK,-21.577664885162463,-12.167467889088979,True,8.189485889547598,-0.6373806072769161,True
PACB,2016-08-05,DT SW,OK,-16.393822851995477,2.0987763104272306,False,-7.844512883931665,-5.775780934881003,True
TK,2016-08-04,DT SW,OK,-52.91666330164833,-17.399019378939983,True,-24.871134020618555,-14.80952903721594,True
BANC,2016-10-19,DT,OK,-38.55958792363056,1.43237454269729,False,-43.73319741352603,-7.218760431734717,True
NRG,2016-11-04,DT SW,OK,-22.27541969738821,0.10484233326037984,False,-10.775626684517414,-6.823255203203993,True
IAG,2016-11-08,UDS,OK,12.680053927481726,7.3621501378879906,False,0.8586962044611735,-9.53759882331312,True
EXEL,2016-11-04,UTU,OK,32.54757743312522,9.25191750045251,False,-16.83923883444487,3.3868303044607195,False
ACAD,2016-11-08,DT,OK,-21.91758722287791,-1.8998966297637976,True,-20.23592679330386,-12.480072876337944,True
AG,2016-11-09,UDS,OK,-20.464316423043847,5.332818731506506,False,-17.801025972452234,-24.951497514247613,True
GLNG,2016-11-30,DT SW,OK,12.377530688305916,3.8810196021653365,False,-4.115501841052838,4.25096195347725,False
