ticker,date,pattern,status,rs_1m_pct,rs_3m_pct,rs_6m_pct
PHM,2012-07-26,UT,OK,8.559046587215601,15.172413793103456,25.406758448060064
GRPN,2012-05-15,DT,OK,-10.556402439024382,-39.66580976863754,-51.92544039328144
CLF,2013-04-25,DT,OK,-15.881809787626967,-50.99515868746638,-60.209652762611924
CIEN,2012-05-31,DT SW,OK,-19.83805668016194,-20.188108834397035,2.857142857142847
FSLR,2013-11-01,U,OK,17.045137273150313,6.355179704016911,9.360869565217378
FSLR,2012-08-02,DT SW,OK,-3.141361256544495,-18.725974739154307,-65.32333645735707
TSLA,2013-05-09,UT,OK,37.74444444444445,42.42331405813198,77.1
BBY,2013-03-01,DT U,OK,2.6266416510319024,27.307990690457707,-5.199306759098777
FCEL,2014-03-10,UT,OK,155.79710144927535,133.7748344370861,159.55882352941177
GOGO,2013-11-11,UDS,insufficient_history,,,
ANGI,2014-04-24,DT SW,OK,1.5847860538827252,-20.864197530864203,-16.536458333333336
FANG,2013-11-05,UT,OK,15.540099978265598,25.971563981042635,86.26489138051856
VIPS,2014-03-04,UT,OK,20.699102503542743,58.33436609245257,215.4567901234568
GOGO,2014-05-12,DT,OK,-38.378099173553714,-42.69932756964457,-33.86917960088691
PLUG,2014-03-13,UTU,OK,91.5492957746479,304.76190476190476,905.9171597633135
ILMN,2014-04-23,UTU,OK,-3.027522935779825,4.801699716713892,81.72663637480042
MTZ,2014-10-31,DT,OK,-10.483598241460946,-2.5046040515653734,-33.30813807004284
FTK,2014-10-23,DT U,OK,-18.573046432616092,-32.467125860989356,-28.147901399067297
FANG,2014-11-05,DT SW,OK,-13.96512099499797,-18.950585838003054,-15.953512942419435
NOG,2014-11-07,DT SW,OK,-20.666666666666668,-34.814363968350584,-24.52431289640593
