ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
MTW,MTW,,1M,1,2016-11-28,2016-11-29,1,small,3.0,4.0,2016-11-23; 2016-12-01; 2016-12-08; 2016-12-28,24.08; 24.74; 25.1; 25.2,25.2,,
MTZ,MTZ,,1M+3M+6M,3,2012-08-07,2012-08-14,7,small,4.0,3.0,2012-08-03; 2012-08-20; 2012-09-21,18.88; 19.95; 20.8,20.8,,
MTZ,MTZ,,6M,1,2015-10-16,2015-10-21,5,small,10.0,1.0,2015-11-05,19.1,19.1,,
MTZ,MTZ,,1M+3M+6M,3,2026-03-06,2026-03-13,7,large_plus,7.0,3.0,2026-03-25; 2026-04-14; 2026-04-23,328.69; 371.62; 388.565,388.565,,
MTZ,MTZ,,6M,1,2026-07-10,2026-07-13,3,large_plus,14.0,1.0,2026-08-17,311.0768,311.0768,,
MU,MU,,1M+3M+6M,3,2008-02-15,2008-02-29,14,mid,8.0,2.0,2008-02-21; 2008-02-27,7.92; 8.13,8.13,,
MU,MU,,1M+6M,2,2009-01-07,2009-02-13,37,mid,1.0,3.0,2009-01-06; 2009-02-09; 2009-03-18,3.67; 4.4; 3.89,3.89,,
MU,MU,,3M+6M,2,2009-03-31,2009-04-20,20,mid,4.0,5.0,2009-03-27; 2009-04-03; 2009-04-17; 2009-05-06; 2009-06-01,4.35; 4.66; 5.1; 5.64; 5.41,5.41,,
MU,MU,,1M+6M,2,2009-06-02,2009-06-23,21,mid,2.0,2.0,2009-06-01; 2009-06-10,5.41; 5.93,5.93,,
MU,MU,,1M+3M+6M,3,2009-10-05,2009-10-23,18,mid,2.0,3.0,2009-10-12; 2009-11-16; 2009-12-03,9.13; 7.78; 8.84,8.84,,
MU,MU,,1M+3M+6M,3,2011-09-22,2011-09-29,7,mid,3.0,1.0,2011-10-28,5.9,5.9,,
MU,MU,,1M+3M+6M,3,2011-11-16,2011-12-28,42,mid,1.0,5.0,2011-11-17; 2011-12-22; 2012-01-10; 2012-01-23; 2012-02-08,7.0; 6.55; 7.44; 8.06; 8.23,8.23,,
MU,MU,,1M+3M+6M,3,2012-07-17,2012-07-19,2,mid,4.0,2.0,2012-07-31; 2012-08-07,6.5; 6.98,6.98,,
MU,MU,,1M+3M+6M,3,2015-10-20,2015-10-27,7,large_plus,2.0,2.0,2015-11-04; 2015-12-01,18.05; 16.63,16.63,,
MU,MU,,1M+3M+6M,3,2016-03-09,2016-03-10,1,large_plus,10.0,1.0,2016-04-18,11.1,11.1,,
MU,MU,,6M,1,2021-03-04,2021-03-24,20,large_plus,7.0,1.0,2021-04-12,96.96,96.96,,
MU,MU,,1M+3M+6M,3,2022-10-27,2022-10-28,1,large_plus,3.0,1.0,2022-11-15,64.44,64.44,,
MU,MU,,1M+3M+6M,3,2025-11-17,2025-12-18,31,large_plus,3.0,2.0,2025-11-17; 2026-01-13,260.58; 351.23,351.23,,
MU,MU,,1M+3M+6M,3,2026-02-03,2026-03-25,50,large_plus,3.0,3.0,2026-01-30; 2026-03-18; 2026-04-27,455.5; 471.34; 531.36,531.36,,
MU,MU,,1M+3M+6M,3,2026-05-12,2026-07-09,58,large_plus,1.0,5.0,2026-05-11; 2026-06-03; 2026-06-22; 2026-06-25; 2026-08-17,818.67; 1089.29; 1213.56; 1255.0; 1036.13,1036.13,,
MUDS^22,MUDS,,1M+3M,2,2021-04-16,2021-05-10,24,small,5.0,3.0,2021-04-16; 2021-05-05; 2021-06-11,14.23; 18.78; 12.58,12.58,,
MUR,MUR,,1M+3M+6M,3,2016-03-04,2016-05-11,68,mid,3.0,5.0,2016-03-07; 2016-04-13; 2016-04-28; 2016-05-26; 2016-06-08,27.94; 29.513; 37.48; 32.09; 33.51,33.51,,
