date,ticker,adr14,adv30,mktcap,ret_1m,ret_3m,ret_6m,sma10_rising_diff,sma20_rising_diff
2005-01-03,LFUS,3.56,7704022.38,760.16,-0.14,-0.05,-0.2,-4.28,-2.87
2005-01-03,SCBS^25,0.31,716.12,10.44,-0.19,-0.18,-0.18,-1.8,-0.9
2005-01-03,FSH.2^06,1.73,70943233.7,7295.92,0.05,0.03,0.09,2.76,5.03
2005-01-03,JACO,5.53,58674.44,25.05,-0.1,-0.28,-0.35,-0.31,-0.28
2005-01-03,DVA,2.33,39132576.24,3862.42,0.18,0.24,0.3,0.67,5.57
2005-01-03,PVFC^13,1.48,22479.71,97.03,-0.05,-0.01,-0.04,-0.16,0.0
2005-01-03,FBTXQ^15,1.95,1533178.08,387.36,-0.03,0.04,0.13,0.04,0.75
2005-01-03,QDHC^10,7.81,216456.1,100.02,0.3,-0.12,-0.16,0.23,0.15
2005-01-03,GSHHY^21,1.43,624553.06,585.97,0.11,0.42,0.42,0.92,2.9
2005-01-03,HWDY^16,0.0,7747.42,,0.05,0.05,0.11,0.23,0.29
2005-01-03,MTW,1.8,8180384.21,1011.09,0.0,0.06,0.16,0.13,-0.07
2005-01-03,SVLF^11,1.45,62805.01,50.87,-0.09,0.04,0.0,-0.02,-0.02
2005-01-03,WSBC,2.35,878230.76,665.73,-0.03,0.05,0.13,0.06,0.5
2005-01-03,YOCM^10,1.91,20154.22,9.59,0.02,-0.09,-0.05,-0.13,0.01
2005-01-03,PDSN^07,4.21,2772427.96,255.27,-0.01,0.11,0.08,0.1,-0.22
2005-01-03,SFD.4^13,1.76,13974077.33,3284.28,-0.02,0.15,-0.01,-0.04,1.78
2005-01-03,BPZRQ^16,9.18,209426.11,62.35,-0.15,0.14,,-0.86,0.08
2005-01-03,CLCT^21,3.62,439102.83,126.95,0.1,0.41,0.61,1.14,0.73
2005-01-03,IMY^05,1.34,304308.4,1666.09,0.0,0.23,0.32,-0.37,2.95
2005-01-03,LKST,5.01,5197166.75,247.84,0.05,0.41,0.03,-0.03,0.27
2005-01-03,MNIQQ^20,0.96,2612152.39,3333.62,0.01,0.0,0.02,0.58,-0.1
2005-01-03,TUESQ^21,2.33,14406890.51,1258.34,-0.1,-0.01,0.06,-2.95,-3.08
2005-01-03,SF,2.61,216892.47,207.0,-0.16,0.0,-0.01,-0.93,-0.47
2005-01-03,RSG,1.54,14930312.35,5054.06,0.04,0.12,0.16,0.0,1.68
2005-01-03,UFCS,1.89,2002070.19,678.54,-0.01,0.15,0.17,0.08,-0.12
2005-01-03,WTKWY,0.0,632038.44,5976.1,0.03,0.19,0.11,0.13,0.64
2005-01-03,BKLYY^10,0.0,6600.29,12.68,-0.12,-0.07,-0.23,-0.23,-0.15
2005-01-03,MSCC^18,3.09,11676720.73,1038.65,-0.07,0.12,0.21,-0.76,0.25
2005-01-03,IDA,1.71,9192138.15,1167.44,-0.07,0.02,0.16,-0.18,-1.64
2005-01-03,TWTI.1^08,4.77,1706279.25,349.85,-0.02,0.07,0.85,0.4,0.29
2005-01-03,MISN^14,0.31,6759.32,14.78,0.04,0.26,0.32,0.73,2.61
2005-01-03,IMPMQ^26,1.8,21192669.84,1600.63,-0.03,-0.12,0.08,-0.79,0.61
2005-01-03,SKT,1.36,2888042.85,725.97,0.02,0.16,0.33,0.11,1.44
2005-01-03,TNM.^06,2.47,1521324.93,331.9,-0.08,0.11,0.05,0.47,-0.38
2005-01-03,SCI,1.58,6157095.1,2478.3,0.01,0.18,0.0,0.19,0.26
2005-01-03,JILL.1^06,2.83,5120609.13,299.34,-0.11,-0.07,-0.35,-1.45,-2.23
2005-01-03,TCAM^06,3.47,123225.79,54.8,0.12,0.05,0.04,0.37,-0.06
2005-01-03,TXU^07,1.18,195142030.54,18833.59,0.04,0.31,0.56,2.22,0.38
2005-01-03,KLAC,2.23,188912769.6,9104.14,-0.04,0.03,0.0,-1.05,0.54
2005-01-03,MFLO^08,3.19,566125.5,169.58,0.13,0.37,0.55,2.12,0.64
2005-01-03,XRIT^12,4.32,1361967.05,333.96,0.03,0.06,0.09,1.3,0.48
2005-01-03,AMNT.^05,3.65,130112.14,60.02,0.08,-0.02,-0.17,0.08,0.52
2005-01-03,GRDCY^13,1.56,375057.94,122.02,0.04,0.06,0.14,0.07,0.39
2005-01-03,CVA^21,2.98,1555458.19,851.96,0.08,0.22,0.25,0.56,0.47
2005-01-03,WIT,2.71,6991209.48,15366.55,-0.04,0.19,0.61,0.76,1.36
2005-01-03,CMC,4.31,19299776.87,1488.56,0.09,0.2,0.54,7.59,4.59
2005-01-03,EE.2^20,1.52,3618137.41,895.82,0.04,0.13,0.22,0.6,0.79
2005-01-03,O,1.69,6827637.58,2005.49,-0.01,0.1,0.21,-0.06,1.0
2005-01-03,VVUSQ^20,4.22,992539.03,169.31,-0.14,0.02,0.22,-0.15,-1.11
2005-01-03,FUJHY,0.0,147773.61,3802.43,0.07,-0.07,-0.05,1.82,-0.21
2005-01-03,MNRK^16,0.62,16365.25,32.66,-0.01,0.03,0.05,0.19,-0.05
2005-01-03,YTBLQ^14,3.37,11896.69,13.6,0.02,-0.29,6.94,-0.02,-0.07
2005-01-03,KWY,1.57,207794.7,892.15,0.03,0.2,0.31,0.48,-0.22
2005-01-03,NBSC^07,3.71,14336.63,54.5,0.11,0.22,0.0,0.16,0.3
2005-01-03,FNBP.1^08,1.6,150487.04,206.3,-0.01,0.08,0.02,-0.63,0.41
2005-01-03,SYS.5^08,4.15,74101.46,28.15,0.34,0.22,0.2,0.23,0.12
2005-01-03,QFABQ^09,3.74,270555.62,94.54,0.01,-0.12,-0.29,0.01,-0.04
2005-01-03,SKYW,2.11,8057010.16,1152.39,0.04,0.27,0.22,0.34,1.23
2005-01-03,CLC^17,2.31,4239352.38,1400.08,0.02,0.1,0.18,1.64,1.02
2005-01-03,IDTI^19,3.32,20695436.69,1234.05,-0.04,0.07,-0.09,-0.09,-0.55
2005-01-03,FMFG,0.26,5509.73,23.67,-0.04,-0.04,-0.11,-0.95,-0.24
2005-01-03,DIGI.^05,7.55,281744.43,50.13,0.14,0.08,-0.23,0.06,0.13
2005-01-03,FRTN,1.37,460.0,3.56,-0.04,-0.13,0.0,-0.04,-0.07
2005-01-03,CNAF,0.74,11953.49,75.1,-0.05,-0.07,-0.03,-0.81,-0.6
2005-01-03,NEWCQ^08,1.97,52630357.16,2178.84,-0.01,0.02,0.41,-0.3,2.0
2005-01-03,SHBK^08,1.1,23683.69,40.83,0.15,0.34,0.31,0.39,1.03
2005-01-03,NWYF^25,0.87,12252.68,51.2,-0.02,0.05,0.02,-0.59,-0.51
2005-01-03,UABK^18,0.0,1168.0,,0.07,0.07,0.28,0.62,0.69
2005-01-03,QDEL,5.09,1497827.87,160.97,-0.19,0.02,-0.11,-0.45,-1.07
2005-01-03,HRTT,6.27,588363.17,170.96,0.56,0.64,0.07,0.56,1.78
2005-01-03,AEIS,3.41,3810322.65,298.4,0.03,-0.14,-0.39,0.58,-0.49
2005-01-03,FICO,1.88,17935946.99,2552.16,0.04,0.18,0.09,1.37,3.06
2005-01-03,CHCO,1.82,1175591.06,600.2,-0.04,0.08,0.17,-0.01,0.14
2005-01-03,TSG.2^07,1.8,17679270.94,3002.19,-0.08,-0.12,-0.19,-0.69,-0.3
2005-01-03,MBVA,2.38,31291.32,79.02,0.04,0.04,0.15,0.1,0.03
2005-01-03,WRK^24,2.44,995546.3,540.31,-0.07,-0.08,-0.09,-0.02,-0.83
2005-01-03,VIRDY,0.91,20081.73,3838.41,0.02,0.03,0.16,0.58,1.08
2005-01-03,FFDF,0.75,5467.0,19.02,0.03,0.17,0.16,0.54,0.84
2005-01-03,OEZVY,0.0,0.0,3389.36,0.1,0.27,0.25,3.53,3.13
2005-01-03,NNCT^16,0.48,9176.84,30.63,0.03,-0.11,0.12,0.06,0.03
2005-01-03,TROW,1.48,35371322.07,7951.04,0.02,0.19,0.25,0.91,2.73
2005-01-03,EZTD,6.42,109080.85,29.37,0.53,0.62,1.03,0.05,0.52
2005-01-03,EAGL.1^07,3.08,15362969.91,1353.21,-0.14,-0.05,0.12,-1.51,-2.05
2005-01-03,PKT^15,7.43,267882.29,45.56,0.32,0.69,-0.01,0.33,0.44
2005-01-03,CWLO^18,0.0,756.77,,0.21,-0.06,-0.04,4.0,-3.23
2005-01-03,PEXNY,0.0,834.13,4876.8,0.01,-0.05,0.13,0.51,-0.25
2005-01-03,WSM,1.83,35272753.36,4100.98,-0.03,-0.06,0.12,-0.93,-2.27
2005-01-03,MYST^05,0.66,59450.41,64.99,0.02,0.04,0.31,0.19,0.53
2005-01-03,KTCC,6.27,34637.5,32.43,0.08,-0.07,-0.1,0.04,0.03
2005-01-03,LION.1^19,2.3,215719.47,173.24,0.07,0.27,0.4,1.06,0.11
2005-01-03,GNTRF^15,3.32,67411.16,20.8,0.01,-0.14,-0.02,0.02,-0.16
2005-01-03,DCBK^07,1.11,129396.74,76.05,-0.03,0.02,-0.02,-0.86,0.28
2005-01-03,GCSAY^13,0.31,22383.83,406.78,0.05,0.29,0.26,0.02,1.67
