ticker,streak_start,streak_end,streak_still_active,hh_date,hh_price,pivot_kind,pivot_date,confirmed_date,suggested_resistance,matched_qualifying_date,is_valid_flag,resistance_override,status
AA,,,,1/12/2022,64.37,LH,1/20/2022,1/24/2022,64.25,2/23/2022,Y,,OK
AA,,,,1/12/2022,64.37,LH,1/26/2022,1/28/2022,63.64,2/23/2022,,,OK
AA,,,,1/12/2022,64.37,HL,1/31/2022,2/2/2022,63.64,2/23/2022,,,OK
AA,,,,2/22/2022,80.08,HL,2/24/2022,2/28/2022,80.08,2/23/2022,Y,,OK
AACG,,,,1/20/2021,1.51,HL,1/27/2021,1/29/2021,1.51,2/8/2021,,,OK
AACG,,,,1/20/2021,1.51,LH,1/29/2021,2/2/2021,1.42,2/8/2021,,,OK
AACG,,,,2/4/2021,19.75,HL,2/11/2021,2/16/2021,19.75,2/8/2021,,,OK
AACG,,,,2/4/2021,19.75,LH,2/17/2021,2/19/2021,6.36,2/8/2021,,,OK
AACG,,,,2/4/2021,19.75,LH,2/26/2021,3/2/2021,5.64,2/8/2021,,,OK
AAI^11,,,,7/30/2008,3.49,HL,8/4/2008,8/6/2008,3.49,7/30/2008,,,OK
AAI^11,,,,7/30/2008,3.49,LH,8/5/2008,8/7/2008,3.41,7/30/2008,,,OK
AAI^11,,,,7/30/2008,3.49,HL,8/7/2008,8/11/2008,3.41,7/30/2008,,,OK
AAI^11,,,,8/11/2008,3.69,HL,8/13/2008,8/15/2008,3.69,8/12/2008,,,OK
AAI^11,,,,8/11/2008,3.69,LH,9/2/2008,9/4/2008,3.05,8/12/2008,,,OK
AAI^11,,,,8/11/2008,3.69,HL,9/8/2008,9/10/2008,3.05,8/12/2008,,,OK
AAI^11,,,,8/11/2008,3.69,LH,9/9/2008,9/11/2008,3,8/12/2008,,,OK
AAI^11,,,,9/16/2008,3.21,HL,9/17/2008,9/19/2008,3.21,8/15/2008,,,OK
AAI^11,,,,9/16/2008,3.21,LH,10/2/2008,10/6/2008,2.81,8/15/2008,,,OK
AAI^11,,,,10/22/2008,3.49,HL,10/24/2008,10/28/2008,3.49,11/4/2008,,,OK
AAI^11,,,,11/3/2008,4.42,HL,11/4/2008,11/6/2008,4.42,11/4/2008,,,OK
AAI^11,,,,11/3/2008,4.42,HL,11/13/2008,11/17/2008,4.42,11/4/2008,,,OK
AAI^11,,,,11/3/2008,4.42,LH,11/19/2008,11/21/2008,3.93,11/4/2008,,,OK
AAI^11,,,,11/3/2008,4.42,LH,11/28/2008,12/2/2008,3.45,11/4/2008,,,OK
AAI^11,,,,11/3/2008,4.42,HL,12/2/2008,12/4/2008,3.45,11/4/2008,,,OK
AAI^11,,,,12/9/2008,3.95,HL,12/12/2008,12/16/2008,3.95,11/18/2008,,,OK
AAI^11,,,,3/18/2009,4.61,HL,3/20/2009,3/24/2009,4.61,4/1/2009,,,OK
AAI^11,,,,3/27/2009,4.93,HL,3/30/2009,4/1/2009,4.93,4/1/2009,,,OK
AAMRQ^13,7/18/2008,8/18/2008,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,10/17/2008,10/22/2008,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,11/5/2008,11/7/2008,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,6/7/2010,6/9/2010,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,1/14/2013,1/17/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,1/25/2013,1/25/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,2/22/2013,3/11/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,3/15/2013,3/19/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,10/9/2013,10/10/2013,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,10/30/2013,11/29/2013,FALSE,,,,,,,,,,no_daily_bars
AAOI,,,,5/1/2017,52.1,HL,5/3/2017,5/5/2017,52.1,5/12/2017,,,OK
AAOI,,,,5/12/2017,67.01,HL,5/18/2017,5/22/2017,67.01,5/12/2017,,,OK
AAOI,,,,5/23/2017,71.7,HL,5/25/2017,5/30/2017,71.7,5/22/2017,,,OK
AAOI,,,,6/6/2017,75.59,LH,6/19/2017,6/21/2017,65.23,5/26/2017,,,OK
AAOI,,,,6/6/2017,75.59,LH,6/23/2017,6/27/2017,67.18,5/26/2017,,,OK
AAOI,,,,6/6/2017,75.59,HL,6/28/2017,6/30/2017,67.18,5/26/2017,,,OK
AAOI,,,,6/6/2017,75.59,LH,7/3/2017,7/6/2017,63.75,5/26/2017,,,OK
AAOI,,,,6/6/2017,75.59,HL,7/6/2017,7/10/2017,63.75,5/26/2017,,,OK
AAOI,,,,7/27/2017,103.41,HL,8/7/2017,8/9/2017,103.41,7/28/2017,,,OK
AAOI,,,,7/27/2017,103.41,HL,8/10/2017,8/14/2017,103.41,7/28/2017,,,OK
AAOI,,,,7/27/2017,103.41,LH,8/15/2017,8/17/2017,71.45,7/28/2017,,,OK
AAOI,,,,7/27/2017,103.41,LH,8/24/2017,8/28/2017,64.9,7/28/2017,,,OK
AAOI,,,,7/27/2017,103.41,LH,9/7/2017,9/11/2017,59.25,7/28/2017,,,OK
AAOI,,,,7/27/2017,103.41,HL,9/8/2017,9/12/2017,59.25,7/28/2017,,,OK
AAOI,,,,6/20/2023,5.67,HL,6/22/2023,6/26/2023,5.67,7/6/2023,,,OK
AAOI,,,,7/13/2023,11.48,HL,7/18/2023,7/20/2023,11.48,7/13/2023,,,OK
AAOI,,,,7/13/2023,11.48,LH,7/25/2023,7/27/2023,9,7/13/2023,,,OK
AAOI,,,,8/15/2023,15.9,HL,8/18/2023,8/22/2023,15.9,8/7/2023,,,OK
AAOI,,,,8/24/2023,16.26,HL,8/28/2023,8/30/2023,16.26,8/30/2023,,,OK
AAOI,,,,8/24/2023,16.26,LH,8/31/2023,9/5/2023,15.78,8/30/2023,,,OK
AAOI,,,,8/24/2023,16.26,LH,9/18/2023,9/20/2023,10.24,8/30/2023,,,OK
AAOI,,,,8/24/2023,16.26,HL,9/21/2023,9/25/2023,10.24,8/30/2023,,,OK
AAOI,,,,10/2/2023,11.68,LH,10/12/2023,10/16/2023,8.67,8/30/2023,,,OK
AAOI,,,,10/2/2023,11.68,LH,10/18/2023,10/20/2023,7.96,8/30/2023,,,OK
AAOI,,,,10/2/2023,11.68,LH,10/24/2023,10/26/2023,7.63,8/30/2023,,,OK
AAOI,,,,10/2/2023,11.68,HL,10/26/2023,10/30/2023,7.63,8/30/2023,,,OK
AAOI,,,,11/7/2023,10.26,HL,11/10/2023,11/14/2023,10.26,11/16/2023,,,OK
AAOI,,,,11/20/2023,14.63,HL,11/27/2023,11/29/2023,14.63,11/20/2023,,,OK
AAOI,,,,11/20/2023,14.63,HL,11/30/2023,12/4/2023,14.63,11/20/2023,,,OK
AAOI,,,,12/19/2023,24.08,HL,12/21/2023,12/26/2023,24.08,12/4/2023,,,OK
AAOI,,,,12/19/2023,24.08,LH,12/26/2023,12/28/2023,23.66,12/4/2023,,,OK
AAOI,,,,12/19/2023,24.08,LH,1/10/2024,1/12/2024,22.85,12/4/2023,,,OK
AAOI,,,,12/19/2023,24.08,LH,1/24/2024,1/26/2024,18.8,12/4/2023,,,OK
AAOI,,,,12/19/2023,24.08,LH,1/30/2024,2/1/2024,18.04,12/4/2023,,,OK
AAOI,,,,9/4/2024,13.65,HL,9/6/2024,9/10/2024,13.65,9/4/2024,,,OK
AAOI,,,,9/12/2024,14.99,HL,9/18/2024,9/20/2024,14.99,9/12/2024,,,OK
AAOI,,,,10/18/2024,20.34,HL,10/23/2024,10/25/2024,20.34,9/12/2024,,,OK
AAOI,,,,10/18/2024,20.34,LH,10/25/2024,10/29/2024,18.55,9/12/2024,,,OK
AAOI,,,,12/11/2025,37.05,HL,12/17/2025,12/19/2025,37.05,12/23/2025,,,OK
AAOI,,,,12/23/2025,41.96,HL,12/31/2025,1/5/2026,41.96,12/23/2025,,,OK
AAOI,,,,12/23/2025,41.96,LH,1/5/2026,1/7/2026,41.35,12/23/2025,,,OK
AAOI,,,,12/23/2025,41.96,LH,1/16/2026,1/21/2026,40.05,12/23/2025,,,OK
AAOI,,,,1/22/2026,41.39,HL,1/26/2026,1/28/2026,40.05,12/23/2025,,,OK
AAOI,,,,2/2/2026,49.11,HL,2/5/2026,2/9/2026,49.11,2/25/2026,,,OK
AAOI,,,,2/11/2026,50.8,HL,2/17/2026,2/19/2026,50.8,2/25/2026,,,OK
AAOI,,,,3/11/2026,128.96,HL,3/17/2026,3/19/2026,128.96,3/11/2026,,,OK
AAOI,,,,3/11/2026,128.96,HL,3/20/2026,3/24/2026,128.96,3/11/2026,,,OK
AAOI,,,,3/11/2026,128.96,LH,3/25/2026,3/27/2026,118.75,3/11/2026,,,OK
AAWW^23,4/14/2020,4/14/2020,FALSE,,,,,,,,,,no_pivot_yet
ABAT,1/4/2021,1/25/2021,FALSE,,,,,,,,,,no_pivot_yet
ABAT,2/5/2021,2/8/2021,FALSE,,,,,,,,,,no_pivot_yet
ABAT,,,,12/27/2024,4.11,HL,1/2/2025,1/6/2025,4.11,1/21/2025,,,OK
ABAT,,,,12/27/2024,4.11,LH,1/6/2025,1/8/2025,3.15,1/21/2025,,,OK
ABAT,,,,12/27/2024,4.11,LH,1/16/2025,1/21/2025,2.25,1/21/2025,,,OK
ABAT,,,,12/27/2024,4.11,LH,1/31/2025,2/4/2025,1.65,1/21/2025,,,OK
ABAT,,,,12/27/2024,4.11,LH,2/14/2025,2/19/2025,1.3892,1/21/2025,,,OK
ABAT,,,,12/27/2024,4.11,LH,3/3/2025,3/5/2025,1.07,1/21/2025,,,OK
ABAT,,,,12/27/2024,4.11,LH,3/12/2025,3/14/2025,1.05,1/21/2025,,,OK
ABAT,,,,12/27/2024,4.11,HL,3/14/2025,3/18/2025,1.05,1/21/2025,,,OK
ABAT,,,,7/3/2025,2.05,HL,7/14/2025,7/16/2025,2.05,7/24/2025,,,OK
ABAT,,,,7/25/2025,3.89,HL,8/1/2025,8/5/2025,3.89,7/25/2025,,,OK
ABAT,,,,7/25/2025,3.89,LH,8/4/2025,8/6/2025,2.65,7/25/2025,,,OK
