ticker,chart_symbol,former_symbols,n_streaks,first_seen,last_seen,streak_spans,windows_per_streak,any_triple,mktcap_bucket,best_rank,total_flagpoles,data_warning,reviewed,notes
CAAS,CAAS,,4,2006-02-27,2020-12-18,2006-02-27..2006-03-08; 2009-12-02..2010-01-25; 2010-03-09..2010-04-14; 2020-11-30..2020-12-18,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M,True,small,2,10,,,
CAA^18,CAA,,1,2008-02-11,2008-04-22,2008-02-11..2008-04-22,1M+3M+6M,True,small,1,2,,,
CABA,CABA,,1,2023-09-18,2024-02-06,2023-09-18..2024-02-06,1M+3M+6M,True,small,3,7,,,
CAB^17,CAB,,1,2011-10-27,2011-11-02,2011-10-27..2011-11-02,6M,False,small,7,2,,,
CACC,CACC,,2,2015-12-10,2022-05-23,2015-12-10..2016-01-11; 2022-05-12..2022-05-23,1M+3M+6M; 3M,True,mid,2,2,,,
CACI,CACI,,1,2025-04-21,2025-04-22,2025-04-21..2025-04-22,1M,False,mid,12,2,,,
CACQ^17,CACQ,CAC,1,2014-03-21,2014-03-28,2014-03-21..2014-03-28,1M+3M,False,mid,4,1,,,
CADE^26,CADE,,1,2008-09-17,2008-10-07,2008-09-17..2008-10-07,1M+3M+6M,True,mid,2,2,,,
CADL,CADL,,3,2024-04-08,2026-09-10,2024-04-08..2024-05-22; 2025-02-21..2025-03-05; 2026-07-17..2026-09-10,1M+3M+6M; 1M+3M; 3M+6M,True,small,1,7,,,
CAGC^12,CAGC,,2,2009-12-23,2010-09-03,2009-12-23..2010-03-24; 2010-08-12..2010-09-03,1M+3M+6M; 1M+3M+6M,True,small,1,6,,,
CAI,CAI,,2,2025-08-18,2026-09-11,2025-08-18..2025-09-05; 2026-08-25..2026-09-11,1M; 1M+3M,False,large_plus,3,2,,,
CAKE,CAKE,,1,2009-03-23,2009-04-28,2009-03-23..2009-04-28,1M+3M,False,small,2,6,,,
CAL,CAL,,3,2021-04-14,2022-06-09,2021-04-14..2021-05-21; 2022-01-24..2022-02-07; 2022-05-25..2022-06-09,1M+3M+6M; 3M+6M; 1M+3M+6M,True,small,9,10,,,
CAL.1^10,CAL,BWS,11,2005-03-15,2010-07-20,2005-03-15..2005-05-17; 2007-01-23..2007-01-26; 2007-09-18..2007-09-25; 2008-02-04..2008-02-26; 2008-08-07..2008-09-29; 2008-11-07..2008-11-10; 2008-12-22..2009-01-22; 2009-09-28..2009-10-02; 2010-01-21..2010-01-28; 2010-04-22..2010-04-28; 2010-07-19..2010-07-20,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M; 1M; 3M+6M; 1M+3M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,22,,,
CALA,CALA,,2,2017-03-06,2017-07-25,2017-03-06..2017-03-24; 2017-06-09..2017-07-25,1M+3M+6M; 1M+3M+6M,True,small,1,7,,,
CALL^18,CALL,,2,2012-07-10,2014-04-04,2012-07-10..2012-07-23; 2014-02-21..2014-04-04,1M+3M+6M; 1M+3M+6M,True,small,4,5,,,
CALM,CALM,,5,2007-08-01,2020-04-07,2007-08-01..2007-08-02; 2007-10-09..2007-10-18; 2007-12-31..2008-04-04; 2008-07-14..2008-08-28; 2020-03-24..2020-04-07,1M+3M+6M; 3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,1,14,,,
CALX,CALX,,3,2021-03-09,2022-11-14,2021-03-09..2021-03-16; 2021-04-29..2021-05-11; 2022-10-14..2022-11-14,3M; 1M+3M+6M; 1M+3M+6M,True,mid,6,9,,,
CALY,CALY,,1,2025-12-02,2025-12-03,2025-12-02..2025-12-03,1M,False,mid,12,1,,,
CAMT,CAMT,,5,2013-12-02,2026-03-25,2013-12-02..2014-01-14; 2023-10-09..2023-10-18; 2024-02-21..2024-02-23; 2024-07-18..2024-07-19; 2026-03-24..2026-03-25,1M+3M+6M; 1M+3M+6M; 6M; 3M+6M; 3M,True,mid,1,11,,,
CAN,CAN,,7,2020-11-18,2024-12-13,2020-11-18..2020-11-30; 2021-02-16..2021-03-25; 2021-08-17..2021-08-25; 2021-11-09..2021-11-17; 2023-12-22..2023-12-26; 2024-11-11..2024-11-15; 2024-12-09..2024-12-13,1M+3M; 1M+3M+6M; 1M; 1M; 1M; 1M; 3M,True,small,1,13,,,
CANF,CANF,,1,2015-09-22,2015-10-02,2015-09-22..2015-10-02,1M+3M+6M,True,small,1,2,,,
CANOQ^24,CANOQ,CANO,3,2022-07-21,2023-03-01,2022-07-21..2022-08-02; 2022-09-12..2022-10-17; 2023-02-08..2023-03-01,1M+3M+6M; 1M+3M+6M; 1M,True,mid,1,7,,,
CAPR,CAPR,,7,2020-05-04,2026-05-04,2020-05-04..2020-05-21; 2020-07-27..2020-08-12; 2024-09-24..2024-11-07; 2025-01-31..2025-03-04; 2025-06-10..2025-06-12; 2025-12-03..2026-01-08; 2026-02-26..2026-05-04,1M+3M; 3M+6M; 1M+3M+6M; 6M; 1M; 1M+3M; 3M+6M,True,small,1,16,,,
CAR,CAR,,19,2008-04-17,2026-04-27,2008-04-17..2008-04-23; 2008-08-27..2008-09-05; 2009-06-04..2009-10-06; 2011-10-31..2011-11-02; 2012-05-11..2012-05-22; 2015-08-24..2015-08-26; 2016-11-16..2016-11-21; 2017-07-03..2017-07-14; 2020-06-03..2020-06-15; 2020-07-21..2020-09-10; 2020-10-28..2020-11-05; 2021-03-05..2021-03-31; 2021-05-12..2021-06-17; 2021-08-11..2021-12-07; 2022-03-16..2022-05-06; 2022-10-19..2022-11-18; 2023-02-13..2023-02-27; 2025-04-21..2025-08-04; 2026-03-31..2026-04-27,1M+3M; 1M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M; 1M+6M; 1M+3M; 6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,57,,,
CARG,CARG,,2,2018-10-05,2022-03-04,2018-10-05..2018-10-08; 2022-02-28..2022-03-04,1M+3M+6M; 1M+3M+6M,True,mid,2,5,,,
CARM,CARM,,4,2016-08-05,2021-11-09,2016-08-05..2016-09-06; 2018-05-03..2018-05-21; 2021-06-25..2021-07-02; 2021-10-26..2021-11-09,1M+3M+6M; 1M+3M+6M; 6M; 1M,True,small,1,5,P123 backfill: 4.5x 1-day move -- verify against chart,,
CARR,CARR,,1,2020-05-15,2020-05-26,2020-05-15..2020-05-26,1M,False,large_plus,12,2,,,
CARS,CARS,,1,2021-12-03,2021-12-21,2021-12-03..2021-12-21,1M+3M+6M,True,small,8,4,,,
CART,CART,,1,2024-01-31,2024-03-07,2024-01-31..2024-03-07,1M+3M,False,mid,5,3,,,
CARV,CARV,,1,2021-07-12,2021-08-27,2021-07-12..2021-08-27,1M+3M+6M,True,small,7,4,,,
CASC^18,CASC,,1,2011-06-24,2011-08-02,2011-06-24..2011-08-02,1M+3M+6M,True,small,1,4,,,
CASSQ^24,CASSQ,CASS,1,2018-03-12,2018-04-26,2018-03-12..2018-04-26,1M+3M,False,mid,1,3,,,
CAST,CAST,,1,2026-06-22,2026-07-09,2026-06-22..2026-07-09,1M+3M,False,small,1,2,,,
CASY,CASY,,1,2008-11-12,2008-11-21,2008-11-12..2008-11-21,3M+6M,False,small,5,1,,,
CAT,CAT,,1,2008-12-11,2008-12-17,2008-12-11..2008-12-17,1M,False,large_plus,9,3,,,
CATM^21,CATM,,1,2019-08-12,2019-08-16,2019-08-12..2019-08-16,6M,False,small,13,2,,,
CATX,CATX,,4,2021-01-11,2026-03-10,2021-01-11..2021-02-03; 2024-05-15..2024-05-17; 2024-07-26..2024-08-07; 2026-02-02..2026-03-10,1M; 3M+6M; 6M; 1M+3M,False,small,2,8,,,
CATY,CATY,,3,2008-07-28,2010-02-05,2008-07-28..2008-10-02; 2008-12-29..2009-01-09; 2010-02-02..2010-02-05,1M+3M; 6M; 1M,False,small,2,7,,,
CAVA,CAVA,,5,2023-11-14,2026-03-16,2023-11-14..2023-12-28; 2024-05-13..2024-07-10; 2024-11-18..2024-12-03; 2025-04-28..2025-04-29; 2026-02-26..2026-03-16,3M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M,True,mid,1,15,,,
CB,CB,,2,2008-09-22,2008-11-18,2008-09-22..2008-10-03; 2008-11-14..2008-11-18,1M+6M; 1M+3M+6M,True,large_plus,3,6,,,
CB.1^16,CB,,2,2008-09-19,2008-12-22,2008-09-19..2008-10-02; 2008-11-13..2008-12-22,1M+3M+6M; 1M+3M+6M,True,large_plus,1,5,,,
CBAT,CBAT,,3,2007-09-28,2021-02-19,2007-09-28..2007-10-19; 2020-09-28..2020-12-08; 2021-01-20..2021-02-19,1M+3M+6M; 1M+3M+6M; 6M,True,small,1,7,,,
CBAY^24,CBAY,,8,2017-07-25,2024-01-29,2017-07-25..2017-08-09; 2018-02-09..2018-03-13; 2019-03-15..2019-03-26; 2020-05-13..2020-06-05; 2020-08-06..2020-11-06; 2023-01-30..2023-05-08; 2023-07-11..2023-09-27; 2023-11-08..2024-01-29,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,1,35,,,
CBB^21,CBB,,1,2020-03-17,2020-04-02,2020-03-17..2020-04-02,1M+3M+6M,True,small,2,1,,,
CBIO,CBIO,,2,2017-05-19,2018-03-05,2017-05-19..2017-07-05; 2017-12-12..2018-03-05,1M+3M+6M; 1M+3M+6M,True,small,1,8,,,
CBLK^19,CBLK,,2,2019-05-15,2019-08-22,2019-05-15..2019-05-28; 2019-08-14..2019-08-22,1M+3M+6M; 1M+3M+6M,True,small,4,3,,,
CBM^19,CBM,,2,2015-04-09,2015-08-18,2015-04-09..2015-04-14; 2015-08-10..2015-08-18,1M+3M+6M; 1M+3M+6M,True,small,3,3,,,
CBRE,CBRE,,6,2007-07-26,2011-11-15,2007-07-26..2007-07-27; 2007-12-18..2007-12-20; 2008-04-02..2008-04-07; 2008-04-30..2008-05-13; 2009-04-03..2009-10-29; 2011-10-24..2011-11-15,1M+3M+6M; 1M+3M+6M; 1M; 3M+6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,15,,,
CBRL,CBRL,,2,2009-02-27,2026-07-02,2009-02-27..2009-03-31; 2026-06-26..2026-07-02,1M+3M+6M; 1M,True,small,1,6,,,
CBRS,CBRS,,1,2026-08-12,2026-08-19,2026-08-12..2026-08-19,1M,False,large_plus,2,1,,,
CBSH,CBSH,,1,2008-10-01,2008-10-02,2008-10-01..2008-10-02,3M+6M,False,mid,6,2,,,
CBST^15,CBST,,1,2008-11-06,2008-12-17,2008-11-06..2008-12-17,1M+3M+6M,True,small,3,3,,,
CC,CC,,8,2016-02-29,2026-04-07,2016-02-29..2016-05-26; 2016-08-03..2016-08-16; 2019-09-20..2019-09-30; 2019-11-18..2019-11-22; 2022-05-18..2022-05-20; 2024-04-04..2024-04-12; 2026-02-05..2026-02-19; 2026-03-19..2026-04-07,1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M,True,mid,1,23,,,
CCC,CCC,,1,2026-07-22,2026-07-30,2026-07-22..2026-07-30,1M,False,mid,9,2,,,
CCC.1^18,CCC,CCCS,2,2007-12-12,2008-03-04,2007-12-12..2007-12-13; 2008-02-13..2008-03-04,1M+3M+6M; 3M+6M,True,small,4,4,,,
CCCC,CCCC,,2,2023-12-13,2024-08-07,2023-12-13..2024-03-19; 2024-07-19..2024-08-07,1M+3M+6M; 1M,True,small,1,8,,,
CCI,CCI,,1,2008-12-24,2009-02-03,2008-12-24..2009-02-03,1M,False,mid,12,3,,,
CCJ,CCJ,,10,2005-03-01,2025-11-12,2005-03-01..2005-03-30; 2008-07-17..2008-07-18; 2009-01-08..2009-01-22; 2009-05-13..2009-05-18; 2017-01-18..2017-02-03; 2020-04-16..2020-04-21; 2021-09-16..2021-10-29; 2022-03-14..2022-04-26; 2022-09-06..2022-09-22; 2025-09-29..2025-11-12,1M+3M+6M; 1M+3M+6M; 3M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,large_plus,1,27,,,
CCL,CCL,,12,2008-08-01,2023-07-14,2008-08-01..2008-08-05; 2008-12-23..2008-12-30; 2009-03-23..2009-03-26; 2009-04-09..2009-05-14; 2020-05-06..2020-06-17; 2020-08-31..2020-09-21; 2020-11-17..2020-12-21; 2021-02-25..2021-04-13; 2022-01-06..2022-02-28; 2022-08-23..2022-09-22; 2022-11-10..2022-11-22; 2023-07-13..2023-07-14,1M+3M+6M; 1M+6M; 1M+6M; 3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,large_plus,1,32,,,
CCME^12,CCME,,2,2010-10-18,2011-02-02,2010-10-18..2010-11-22; 2011-01-20..2011-02-02,1M+3M+6M; 1M+3M+6M,True,small,1,6,,,
CCOI,CCOI,,2,2012-01-20,2020-04-17,2012-01-20..2012-01-25; 2020-03-10..2020-04-17,6M; 1M+3M+6M,True,mid,2,7,,,
CCRN^26,CCRN,,3,2021-11-19,2022-11-10,2021-11-19..2022-01-10; 2022-07-25..2022-08-03; 2022-09-14..2022-11-10,3M+6M; 1M+6M; 1M+3M+6M,True,small,5,10,,,
CCU.1^08,CCU,CU,1,2008-03-14,2008-03-26,2008-03-14..2008-03-26,1M+3M+6M,True,large_plus,1,2,,,
CCXI,CCXI,,2,2026-07-02,2026-08-10,2026-07-02..2026-07-16; 2026-08-07..2026-08-10,1M; 3M,False,small,5,5,,,
CCXI.2^22,CCXI,,5,2016-06-01,2022-06-17,2016-06-01..2016-06-21; 2019-12-02..2020-02-03; 2020-04-21..2020-06-18; 2021-10-08..2021-11-29; 2022-06-03..2022-06-17,1M+3M+6M; 1M+3M+6M; 3M+6M; 1M+3M+6M; 1M,True,small,1,19,,,
CD.1^23,CD,MFH,5,2022-03-21,2023-01-23,2022-03-21..2022-03-23; 2022-05-19..2022-07-14; 2022-08-31..2022-09-28; 2022-12-06..2022-12-12; 2023-01-10..2023-01-23,1M; 1M+3M+6M; 1M+6M; 1M; 6M,True,mid,2,16,,,
CDE,CDE,,26,2005-10-03,2026-03-12,2005-10-03..2005-10-12; 2005-11-23..2005-12-08; 2006-03-09..2006-03-23; 2006-07-18..2006-07-24; 2007-11-14..2008-01-23; 2009-04-24..2009-05-20; 2009-09-30..2009-11-18; 2010-11-12..2010-11-29; 2011-03-10..2011-04-15; 2013-08-27..2013-09-05; 2014-12-09..2015-02-23; 2015-04-20..2015-05-01; 2016-03-01..2016-07-25; 2017-01-17..2017-01-25; 2017-04-27..2017-05-01; 2019-01-04..2019-01-18; 2019-06-21..2019-09-12; 2019-11-08..2019-11-22; 2020-01-06..2020-01-07; 2022-10-03..2022-11-09; 2023-04-14..2023-04-18; 2023-10-23..2023-12-19; 2024-04-04..2024-07-01; 2024-09-18..2024-10-04; 2025-09-30..2025-10-28; 2025-12-18..2026-03-12,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 3M+6M; 1M+3M; 1M+3M+6M; 1M+3M+6M; 1M+3M; 1M+3M+6M; 6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+6M; 6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,1,83,,,
CDIIQ,CDIIQ,CDII,1,2007-10-08,2007-11-07,2007-10-08..2007-11-07,1M+3M+6M,True,small,1,3,,,
CDIO,CDIO,,2,2023-03-06,2024-01-04,2023-03-06..2023-03-10; 2024-01-02..2024-01-04,1M+3M; 3M+6M,False,small,1,2,,,
CDLX,CDLX,,10,2019-08-22,2024-04-10,2019-08-22..2019-09-19; 2019-11-15..2019-12-19; 2020-01-31..2020-02-28; 2020-06-08..2020-06-09; 2020-11-09..2020-11-19; 2022-02-09..2022-02-16; 2023-04-19..2023-05-04; 2023-05-08..2023-05-12; 2023-09-07..2023-09-13; 2024-03-15..2024-04-10,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 3M; 1M; 1M; 1M+3M; 6M; 1M+3M+6M; 1M+3M,True,small,1,23,,,
CDMO^25,CDMO,,2,2023-03-22,2024-08-16,2023-03-22..2023-03-31; 2024-07-30..2024-08-16,1M+3M+6M; 1M+3M+6M,True,small,3,5,,,
CDNA,CDNA,,8,2018-09-05,2026-09-10,2018-09-05..2018-12-14; 2019-01-31..2019-03-27; 2019-05-21..2019-07-17; 2019-10-08..2019-10-21; 2020-10-15..2020-12-09; 2023-07-25..2023-08-04; 2024-05-22..2024-10-16; 2026-07-30..2026-09-10,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M; 1M; 1M+3M+6M; 1M+3M+6M,True,small,1,32,,,
CDNL,CDNL,,1,2026-03-30,2026-07-10,2026-03-30..2026-07-10,1M+3M+6M,True,small,3,4,,,
CDNS,CDNS,,1,2009-01-14,2009-01-21,2009-01-14..2009-01-21,1M,False,small,5,1,,,
CDP,CDP,,1,2008-09-25,2008-09-26,2008-09-25..2008-09-26,6M,False,mid,13,1,,,
CDTX^26,CDTX,,1,2025-06-25,2025-11-13,2025-06-25..2025-11-13,1M+3M+6M,True,small,1,7,,,
CDW,CDW,,1,2026-08-07,2026-08-17,2026-08-07..2026-08-17,3M+6M,False,large_plus,9,1,,,
CDXS,CDXS,,1,2021-10-11,2021-11-26,2021-10-11..2021-11-26,1M+3M+6M,True,mid,6,3,,,
CE,CE,,3,2009-03-26,2026-04-01,2009-03-26..2009-04-20; 2009-04-29..2009-06-25; 2026-03-27..2026-04-01,1M; 1M+3M+6M; 1M,True,mid,4,12,,,
CECO,CECO,,1,2025-08-08,2025-08-11,2025-08-08..2025-08-11,1M,False,small,14,3,,,
CEC^14,CEC,,1,2008-08-04,2008-08-22,2008-08-04..2008-08-22,6M,False,small,7,2,,,
CEG,CEG,,2,2022-06-15,2025-02-24,2022-06-15..2022-06-16; 2025-01-27..2025-02-24,3M; 1M+3M+6M,True,large_plus,1,4,,,
CEGE^09,CEGE,,1,2007-04-04,2007-04-25,2007-04-04..2007-04-25,1M+3M+6M,True,small,2,2,,,
CELC,CELC,,3,2021-04-13,2026-04-14,2021-04-13..2021-05-14; 2025-07-29..2026-02-02; 2026-03-19..2026-04-14,1M+3M+6M; 1M+3M+6M; 6M,True,small,1,17,,,
CELG^19,CELG,,1,2008-11-14,2008-11-17,2008-11-14..2008-11-17,1M+3M+6M,True,large_plus,2,1,,,
CELH,CELH,,10,2020-08-07,2025-04-29,2020-08-07..2021-01-22; 2021-04-22..2021-06-09; 2021-08-13..2021-11-09; 2022-02-25..2022-03-02; 2022-04-29..2022-09-07; 2022-11-17..2022-12-21; 2024-01-09..2024-01-24; 2024-03-01..2024-03-28; 2024-05-20..2024-06-03; 2025-03-10..2025-04-29,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,41,,,
CELL.1^12,CELL,,1,2007-11-19,2007-11-29,2007-11-19..2007-11-29,1M+3M+6M,True,small,2,1,,,
CEMI^23,CEMI,,1,2020-04-20,2020-05-07,2020-04-20..2020-05-07,1M+3M+6M,True,small,1,2,,,
CENN,CENN,,1,2022-03-23,2022-04-11,2022-03-23..2022-04-11,1M,False,small,8,2,,,
CENX,CENX,,25,2006-05-12,2026-04-10,2006-05-12..2006-05-19; 2006-11-13..2006-11-15; 2007-07-26..2007-07-27; 2008-02-15..2008-03-17; 2009-01-06..2009-01-09; 2009-04-13..2009-06-25; 2009-08-03..2009-08-21; 2009-12-07..2009-12-08; 2010-04-07..2010-04-08; 2014-11-05..2014-12-08; 2016-02-16..2016-03-22; 2016-04-28..2016-05-10; 2016-07-13..2016-08-18; 2016-10-28..2016-11-30; 2017-01-19..2017-02-10; 2017-04-28..2017-07-28; 2018-01-08..2018-02-26; 2019-01-29..2019-02-04; 2021-08-03..2021-08-04; 2022-01-20..2022-04-11; 2022-11-11..2022-11-18; 2023-03-06..2023-03-10; 2023-12-19..2023-12-28; 2024-04-09..2024-06-06; 2026-02-06..2026-04-10,6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M; 1M+6M; 1M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 3M; 6M; 1M+3M+6M; 1M; 3M+6M; 3M; 1M+3M+6M; 3M+6M,True,small,1,56,,,
CEO^22,CEO,,1,2008-12-10,2008-12-18,2008-12-10..2008-12-18,1M,False,large_plus,4,2,,,
CEPL,CEPL,,4,2006-04-10,2014-04-02,2006-04-10..2006-04-25; 2008-04-21..2008-07-07; 2011-03-31..2011-04-14; 2014-03-12..2014-04-02,1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,1,8,,,
CEQP^23,CEQP,,2,2016-04-06,2020-05-11,2016-04-06..2016-06-17; 2020-04-30..2020-05-11,1M+3M+6M; 1M,True,small,2,9,,,
CERE^24,CERE,,4,2021-06-29,2023-05-18,2021-06-29..2021-09-27; 2021-11-10..2021-11-16; 2022-12-28..2023-01-09; 2023-05-03..2023-05-18,1M+3M+6M; 6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,12,,,
CERN^22,CERN,,1,2009-03-27,2009-03-30,2009-03-27..2009-03-30,6M,False,mid,16,3,,,
CERS,CERS,,1,2015-01-07,2015-01-13,2015-01-07..2015-01-13,1M+3M+6M,True,small,5,2,,,
CERT,CERT,,4,2021-05-04,2025-05-06,2021-05-04..2021-05-10; 2021-09-02..2021-10-20; 2022-11-22..2022-11-23; 2025-04-23..2025-05-06,1M; 1M+3M+6M; 1M; 1M+3M+6M,True,mid,2,8,,,
CETV^20,CETV,,3,2007-11-08,2009-10-01,2007-11-08..2007-11-09; 2009-05-21..2009-05-22; 2009-08-19..2009-10-01,1M; 3M; 3M+6M,False,small,9,7,,,
CF,CF,,9,2007-03-05,2026-04-10,2007-03-05..2007-03-14; 2007-10-03..2008-03-07; 2008-04-16..2008-05-01; 2008-06-24..2008-07-23; 2009-02-18..2009-03-18; 2011-08-18..2011-08-22; 2022-02-02..2022-04-26; 2022-11-11..2022-11-15; 2026-03-09..2026-04-10,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,32,,,
CFL.2^10,CFL,,1,2009-02-09,2009-02-19,2009-02-09..2009-02-19,3M,False,small,8,3,,,
CFLT^26,CFLT,,4,2023-02-13,2025-02-28,2023-02-13..2023-02-24; 2023-04-24..2023-04-27; 2023-06-07..2023-08-01; 2025-02-13..2025-02-28,1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,large_plus,2,10,,,
CGAU,CGAU,,1,2026-02-19,2026-02-23,2026-02-19..2026-02-23,6M,False,mid,10,1,,,
CGC,CGC,,11,2017-11-08,2025-12-18,2017-11-08..2018-01-29; 2018-03-20..2018-04-04; 2018-05-24..2018-07-05; 2018-08-22..2018-10-19; 2019-01-18..2019-02-14; 2019-12-18..2020-02-04; 2020-10-22..2021-02-23; 2022-08-25..2022-09-07; 2022-11-10..2022-11-23; 2024-03-27..2024-05-16; 2025-12-16..2025-12-18,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M; 1M+3M+6M; 1M,True,mid,1,27,,,
CGEM,CGEM,,2,2024-04-25,2025-12-12,2024-04-25..2024-05-20; 2025-11-24..2025-12-12,1M+3M+6M; 1M,True,small,4,4,,,
CGEN,CGEN,,3,2009-12-30,2024-02-01,2009-12-30..2010-01-21; 2020-03-13..2020-06-23; 2024-01-26..2024-02-01,1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,2,9,,,
CGIP,CGIP,,1,2006-07-10,2006-07-18,2006-07-10..2006-07-18,1M+3M+6M,True,small,3,1,,,
CGNX,CGNX,,1,2026-07-13,2026-07-14,2026-07-13..2026-07-14,6M,False,large_plus,9,1,,,
CGON,CGON,,3,2025-09-08,2026-03-23,2025-09-08..2025-09-18; 2026-01-14..2026-01-23; 2026-03-17..2026-03-23,1M; 1M; 3M,False,mid,9,8,,,
CGTX,CGTX,,1,2025-08-18,2025-09-12,2025-08-18..2025-09-12,1M+3M+6M,True,small,2,1,,,
CHA.1^21,CHA,,2,2008-12-04,2008-12-17,2008-12-04..2008-12-08; 2008-12-16..2008-12-17,1M; 3M,False,mid,8,3,,,
CHE,CHE,,1,2008-11-12,2008-12-09,2008-11-12..2008-12-09,1M+6M,False,small,11,1,,,
CHGG,CHGG,,6,2018-12-21,2023-11-22,2018-12-21..2018-12-24; 2020-05-12..2020-06-01; 2020-08-11..2020-08-14; 2022-02-25..2022-02-28; 2022-10-13..2022-11-02; 2023-11-17..2023-11-22,1M+3M+6M; 1M+3M+6M; 1M+6M; 3M; 1M+3M+6M; 6M,True,mid,5,16,,,
CHGS,CHGS,,1,2011-01-05,2011-02-10,2011-01-05..2011-02-10,1M+3M+6M,True,small,2,1,,,
CHH,CHH,,1,2008-12-24,2009-01-16,2008-12-24..2009-01-16,3M+6M,False,small,10,2,,,
CHIC.2^09,CHIC,,1,2008-02-05,2008-02-12,2008-02-05..2008-02-12,3M,False,small,4,3,,,
CHL^21,CHL,,1,2008-12-02,2008-12-10,2008-12-02..2008-12-10,1M+3M,False,large_plus,1,2,,,
CHMA^21,CHMA,,1,2021-05-10,2021-05-20,2021-05-10..2021-05-20,1M,False,small,11,2,,,
CHNEY,CHNEY,,1,2007-10-03,2007-10-10,2007-10-03..2007-10-10,1M+3M+6M,True,small,5,1,,,
CHNR,CHNR,,2,2007-10-03,2007-12-27,2007-10-03..2007-10-25; 2007-12-24..2007-12-27,1M+3M+6M; 1M+3M+6M,True,small,1,2,,,
CHPT,CHPT,,5,2021-06-16,2026-09-21,2021-06-16..2021-06-30; 2022-03-16..2022-03-31; 2022-06-15..2022-06-28; 2022-09-22..2022-09-27; 2026-09-04..2026-09-21,1M+3M; 1M; 1M; 1M; 1M,False,mid,6,11,,,
CHRD,CHRD,,2,2021-07-07,2022-02-17,2021-07-07..2021-07-16; 2022-01-21..2022-02-17,3M+6M; 1M+3M+6M,True,mid,4,3,,,
CHRN,CHRN,,1,2020-06-29,2020-07-22,2020-06-29..2020-07-22,1M,False,small,8,1,,,
CHRS,CHRS,,8,2015-07-02,2023-09-15,2015-07-02..2015-08-04; 2017-05-17..2017-05-30; 2018-04-02..2018-08-06; 2019-03-13..2019-07-12; 2019-09-09..2019-10-02; 2022-08-18..2022-08-24; 2023-01-05..2023-01-12; 2023-09-05..2023-09-15,1M+3M+6M; 1M+3M; 1M+3M+6M; 1M+3M+6M; 3M+6M; 1M; 1M; 1M+3M+6M,True,small,1,20,,,
CHRS.1^12,CHRS,,4,2008-02-07,2012-01-03,2008-02-07..2008-02-13; 2009-10-22..2009-10-26; 2009-12-18..2010-01-04; 2011-12-07..2012-01-03,1M; 1M; 1M+3M+6M; 1M+3M+6M,True,small,1,10,,,
CHRW,CHRW,,1,2008-11-13,2008-11-20,2008-11-13..2008-11-20,1M+3M+6M,True,mid,5,2,,,
