ticker,chart_symbol,former_symbols,n_streaks,first_seen,last_seen,streak_spans,windows_per_streak,any_triple,mktcap_bucket,best_rank,total_flagpoles,data_warning,reviewed,notes
AEIS,AEIS,,5,2006-02-27,2026-04-09,2006-02-27..2006-03-01; 2007-05-10..2007-05-11; 2010-11-01..2010-11-02; 2013-11-12..2013-11-22; 2026-02-10..2026-04-09,1M+3M+6M; 1M+3M+6M; 6M; 1M; 1M+3M+6M,True,small,5,11,,,
AEM,AEM,,4,2006-02-17,2009-02-25,2006-02-17..2006-03-14; 2006-05-15..2006-05-19; 2008-03-19..2008-03-27; 2008-12-15..2009-02-25,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,13,,,
AEMD,AEMD,,1,2021-06-14,2021-07-26,2021-06-14..2021-07-26,1M+3M,False,small,1,1,,,
AEO,AEO,,6,2008-02-11,2025-09-18,2008-02-11..2008-02-13; 2008-09-12..2008-09-17; 2009-03-16..2009-03-30; 2009-04-09..2009-04-24; 2019-09-17..2019-09-23; 2025-08-11..2025-09-18,6M; 1M; 1M; 3M+6M; 1M+3M+6M; 1M+3M,True,mid,6,20,,,
AERI^22,AERI,,7,2015-06-23,2022-08-24,2015-06-23..2015-08-03; 2015-09-21..2015-11-25; 2016-09-14..2016-10-14; 2016-11-28..2016-12-05; 2017-06-09..2017-06-14; 2019-03-14..2019-04-09; 2022-08-23..2022-08-24,1M+3M; 1M+3M+6M; 1M+3M+6M; 3M+6M; 1M+6M; 6M; 1M+3M+6M,True,small,1,19,,,
AES,AES,,1,2009-05-28,2009-06-09,2009-05-28..2009-06-09,1M,False,mid,5,2,,,
AESI,AESI,,1,2026-03-27,2026-05-18,2026-03-27..2026-05-18,1M,False,small,11,2,,,
AET^18,AET,,3,2008-12-26,2009-08-04,2008-12-26..2009-02-20; 2009-04-14..2009-04-15; 2009-07-20..2009-08-04,1M+3M+6M; 6M; 1M+3M+6M,True,large_plus,1,7,,,
AEVA,AEVA,,3,2021-12-01,2025-09-23,2021-12-01..2021-12-03; 2025-05-05..2025-07-14; 2025-09-22..2025-09-23,1M+6M; 1M+3M+6M; 6M,True,small,1,6,,,
AFAM^18,AFAM,,2,2008-08-12,2008-12-11,2008-08-12..2008-09-08; 2008-11-04..2008-12-11,1M+3M+6M; 1M+3M+6M,True,small,1,6,,,
AFFX^16,AFFX,,3,2006-11-01,2010-02-24,2006-11-01..2006-11-13; 2009-08-03..2009-08-13; 2010-02-09..2010-02-24,1M+3M+6M; 1M; 1M+3M+6M,True,small,1,8,,,
AFFY,AFFY,,4,2011-12-08,2013-06-06,2011-12-08..2012-04-09; 2012-07-24..2012-08-01; 2012-10-23..2012-11-01; 2013-05-28..2013-06-06,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M,True,small,1,12,,,
AFJK,AFJK,,1,2025-12-15,2026-01-21,2025-12-15..2026-01-21,1M+3M+6M,True,small,1,1,,,
AFL,AFL,,2,2008-09-19,2009-06-11,2008-09-19..2008-09-25; 2009-04-07..2009-06-11,1M; 1M+3M+6M,True,large_plus,2,5,,,
AFMDQ,AFMDQ,AFMD,1,2021-04-14,2021-05-07,2021-04-14..2021-05-07,1M+3M+6M,True,small,10,2,,,
AFOP^16,AFOP,,2,2013-07-29,2014-05-30,2013-07-29..2013-10-07; 2014-04-23..2014-05-30,1M+3M+6M; 1M+3M+6M,True,small,1,8,,,
