ticker,revised_ticker,first_qualifying_date,hh_date,hh_price,pivot_kind,pullback_date,resistance_confirmed_date,suggested_resistance,is_valid_flag,resistance_override,status,streak_still_active
AA,AA,2/23/2022,2/22/2022,80.08,HL,2/24/2022,2/28/2022,80.08,,,OK,
AA,AA,2/23/2022,3/7/2022,92.32,HL,3/9/2022,3/11/2022,92.32,,,OK,
AA,AA,2/23/2022,3/7/2022,92.32,HL,3/15/2022,3/17/2022,92.32,,,OK,
AA,AA,2/23/2022,3/25/2022,98.09,HL,3/29/2022,3/31/2022,98.09,,,OK,
AA,AA,2/23/2022,3/25/2022,98.09,LH,3/30/2022,4/1/2022,93.99,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,HL,2/11/2021,2/16/2021,19.75,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,LH,2/17/2021,2/19/2021,6.36,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,LH,2/26/2021,3/2/2021,5.64,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,LH,3/10/2021,3/12/2021,5.12,,,OK,
AACG,AACG,2/8/2021,2/4/2021,19.75,HL,3/16/2021,3/18/2021,5.12,,,OK,
AACG,AACG,2/16/2021,3/22/2021,6.06,LH,3/26/2021,3/30/2021,5.44,,,OK,
AACG,AACG,2/23/2021,3/22/2021,6.06,HL,4/7/2021,4/9/2021,5.44,,,OK,
AACG,AACG,3/5/2021,3/22/2021,6.06,LH,4/15/2021,4/19/2021,3.83,,,OK,
AAI^11,AAI,7/29/2008,7/30/2008,3.49,HL,8/4/2008,8/6/2008,3.49,,,OK,
AAI^11,AAI,7/29/2008,7/30/2008,3.49,LH,8/5/2008,8/7/2008,3.41,,,OK,
AAI^11,AAI,7/29/2008,7/30/2008,3.49,HL,8/7/2008,8/11/2008,3.41,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,HL,8/13/2008,8/15/2008,3.69,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,LH,9/2/2008,9/4/2008,3.05,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,HL,9/8/2008,9/10/2008,3.05,,,OK,
AAI^11,AAI,7/29/2008,8/11/2008,3.69,LH,9/9/2008,9/11/2008,3,,,OK,
