ticker,revised_ticker,first_qualifying_date,rank_that_day,population_that_day,hh_date,hh_confirmed_date,suggested_resistance,is_valid_flag,resistance_override,status,streak_still_active
AA,AA,2022-02-23,12.0,93.0,2022-02-22,2022-02-24,80.08,,,OK,
AA,AA,2022-02-23,12.0,93.0,2022-03-07,2022-03-09,92.32,,,OK,
AA,AA,2022-02-23,12.0,93.0,2022-03-25,2022-03-29,98.09,,,OK,
AAAP.1^18,AAAP,2017-09-28,16.0,43.0,2017-10-02,2017-10-04,68.0,,,OK,
AAAP.1^18,AAAP,2017-09-28,16.0,43.0,2017-10-09,2017-10-11,71.0,,,OK,
AAAP.1^18,AAAP,2017-09-28,16.0,43.0,2017-11-01,2017-11-03,81.5,,,OK,
AACG,AACG,,,,,,,,,no_pivot_yet,False
AACG,AACG,2021-02-08,10.0,467.0,2021-02-04,2021-02-08,19.75,,,OK,
AACG,AACG,2021-02-08,10.0,467.0,2021-03-22,2021-03-24,6.06,,,OK,
AACH^20,AACH,,,,,,,,,no_daily_bars,False
AAI^11,AAI,2008-08-05,15.0,122.0,2008-08-11,2008-08-13,3.69,,,OK,
AAI^11,AAI,2008-08-05,15.0,122.0,2008-09-16,2008-09-18,3.21,,,OK,
AAI^11,AAI,2008-11-04,2.0,13.0,2008-11-03,2008-11-05,4.42,,,OK,
AAI^11,AAI,2008-11-04,2.0,13.0,2008-12-09,2008-12-11,3.95,,,OK,
AAI^11,AAI,2009-03-31,13.0,272.0,2009-03-27,2009-03-31,4.93,,,OK,
AAI^11,AAI,2009-03-31,13.0,272.0,2009-04-14,2009-04-16,5.67,,,OK,
AAI^11,AAI,2009-03-31,13.0,272.0,2009-04-23,2009-04-27,7.64,,,OK,
AAI^11,AAI,2009-03-31,13.0,272.0,2009-05-05,2009-05-07,8.68,,,OK,
AAI^11,AAI,2009-07-13,15.0,48.0,2009-07-16,2009-07-20,6.66,,,OK,
AAI^11,AAI,2009-07-13,15.0,48.0,2009-07-30,2009-08-03,7.47,,,OK,
AAI^11,AAI,2009-07-14,11.0,46.0,2009-08-26,2009-08-28,7.07,,,OK,
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,,,,,,,,,no_daily_bars,False
AAOI,AAOI,2017-01-25,15.0,33.0,2017-02-06,2017-02-08,32.79,,,OK,
AAOI,AAOI,2017-01-25,15.0,33.0,2017-02-14,2017-02-16,36.7,,,OK,
AAOI,AAOI,2017-01-25,15.0,33.0,2017-02-21,2017-02-23,38.89,,,OK,
AAOI,AAOI,2017-01-25,15.0,33.0,2017-03-07,2017-03-09,56.14,,,OK,
AAOI,AAOI,2017-02-28,5.0,35.0,2017-03-27,2017-03-29,60.19,,,OK,
AAOI,AAOI,2017-03-20,9.0,32.0,2017-05-01,2017-05-03,52.1,,,OK,
AAOI,AAOI,2017-05-12,2.0,21.0,2017-05-12,2017-05-16,67.01,,,OK,
AAOI,AAOI,2017-05-12,2.0,21.0,2017-05-23,2017-05-25,71.7,,,OK,
AAOI,AAOI,2017-05-12,2.0,21.0,2017-06-06,2017-06-08,75.59,,,OK,
AAOI,AAOI,2017-07-20,9.0,17.0,2017-07-27,2017-07-31,103.41,,,OK,
AAOI,AAOI,2018-04-24,6.0,31.0,2018-04-27,2018-05-01,34.52,,,OK,
AAOI,AAOI,2018-04-24,6.0,31.0,2018-05-08,2018-05-10,35.7399,,,OK,
AAOI,AAOI,2018-04-24,6.0,31.0,2018-06-04,2018-06-06,49.75,,,OK,
AAOI,AAOI,2018-06-06,16.0,44.0,2018-07-13,2018-07-17,50.3,,,OK,
AAOI,AAOI,2022-09-16,14.0,115.0,2022-09-20,2022-09-22,4.0,,,OK,
AAOI,AAOI,2022-09-16,14.0,115.0,2022-10-06,2022-10-10,3.115,,,OK,
AAOI,AAOI,2022-09-16,14.0,115.0,2022-10-27,2022-10-31,3.0,,,OK,
AAOI,AAOI,2023-07-06,1.0,66.0,2023-07-13,2023-07-17,11.48,,,OK,
AAOI,AAOI,2023-07-06,1.0,66.0,2023-08-15,2023-08-17,15.9,,,OK,
AAOI,AAOI,2023-07-14,3.0,98.0,2023-08-24,2023-08-28,16.26,,,OK,
AAOI,AAOI,2023-08-21,8.0,38.0,2023-10-02,2023-10-04,11.68,,,OK,
AAOI,AAOI,2023-11-16,5.0,48.0,2023-11-20,2023-11-22,14.63,,,OK,
AAOI,AAOI,2023-11-16,5.0,48.0,2023-12-19,2023-12-21,24.08,,,OK,
AAOI,AAOI,2024-09-04,6.0,66.0,2024-09-04,2024-09-06,13.65,,,OK,
AAOI,AAOI,2024-09-04,6.0,66.0,2024-09-12,2024-09-16,14.99,,,OK,
AAOI,AAOI,2024-09-09,8.0,57.0,2024-10-18,2024-10-22,20.34,,,OK,
AAOI,AAOI,2024-11-29,10.0,129.0,2024-12-04,2024-12-06,44.5,,,OK,
AAOI,AAOI,2024-11-29,10.0,129.0,2024-12-26,2024-12-30,41.27,,,OK,
AAOI,AAOI,2025-12-22,12.0,163.0,2025-12-23,2025-12-26,41.96,,,OK,
AAOI,AAOI,2025-12-22,12.0,163.0,2026-01-22,2026-01-26,41.39,,,OK,
AAOI,AAOI,2025-12-22,12.0,163.0,2026-02-02,2026-02-04,49.11,,,OK,
AAOI,AAOI,2026-02-25,9.0,177.0,2026-03-11,2026-03-13,128.96,,,OK,
AAOI,AAOI,2026-03-02,4.0,181.0,2026-04-13,2026-04-15,155.4,,,OK,
AAOI,AAOI,2026-03-09,10.0,202.0,2026-04-21,2026-04-23,173.4099,,,OK,
AAOI,AAOI,2026-03-23,8.0,138.0,2026-05-01,2026-05-05,191.87,,,OK,
AAOI,AAOI,2026-04-16,14.0,150.0,2026-05-13,2026-05-15,233.67,,,OK,
AAOI,AAOI,2026-05-04,14.0,274.0,2026-06-04,2026-06-08,209.64,,,OK,
AAWW^23,AAWW,2011-12-01,13.0,13.0,2011-11-30,2011-12-02,42.27,,,OK,
AAWW^23,AAWW,2011-12-01,13.0,13.0,2012-01-03,2012-01-05,39.87,,,OK,
AAWW^23,AAWW,2011-12-01,13.0,13.0,2012-01-11,2012-01-13,41.99,,,OK,
ABAT,ABAT,,,,,,,,,no_pivot_yet,False
ABAT,ABAT,,,,,,,,,no_pivot_yet,False
ABAT,ABAT,2024-12-26,14.0,124.0,2024-12-27,2024-12-31,4.11,,,OK,
ABAT,ABAT,2025-07-24,6.0,188.0,2025-07-25,2025-07-29,3.89,,,OK,
ABAT,ABAT,2025-07-24,6.0,188.0,2025-08-15,2025-08-19,2.87,,,OK,
ABAT,ABAT,2025-10-01,16.0,210.0,2025-10-15,2025-10-17,11.49,,,OK,
ABAX^18,ABAX,,,,,,,,,no_pivot_yet,False
ABAX^18,ABAX,2007-11-12,7.0,103.0,2007-11-19,2007-11-21,34.6,,,OK,
ABAX^18,ABAX,2007-11-12,7.0,103.0,2007-12-11,2007-12-13,37.3,,,OK,
ABBV,ABBV,2016-01-28,15.0,17.0,2016-02-18,2016-02-22,55.53,,,OK,
ABBV,ABBV,2016-01-28,15.0,17.0,2016-02-26,2016-03-01,56.79,,,OK,
ABCL,ABCL,2026-08-14,5.0,193.0,2026-08-19,2026-08-21,12.15,,,OK,
ABCL,ABCL,2026-08-14,5.0,193.0,2026-08-27,2026-08-31,12.5799,,,OK,
ABEO,ABEO,,,,,,,,,no_pivot_yet,False
ABEO,ABEO,2017-09-07,2.0,15.0,2017-09-05,2017-09-07,381.125,,,OK,
ABEO,ABEO,2017-09-07,2.0,15.0,2017-09-18,2017-09-20,447.5,,,OK,
ABEO,ABEO,2017-09-07,2.0,15.0,2017-09-29,2017-10-03,472.5,,,OK,
ABEO,ABEO,2017-09-07,2.0,15.0,2017-10-11,2017-10-13,568.75,,,OK,
ABEO,ABEO,2017-10-20,15.0,21.0,2017-11-29,2017-12-01,442.375,,,OK,
ABEO,ABEO,2018-03-22,15.0,48.0,2018-04-23,2018-04-25,550.0,,,OK,
ABEO,ABEO,2025-05-02,16.0,56.0,2025-04-30,2025-05-02,7.3236,,,OK,
ABEO,ABEO,2025-05-02,16.0,56.0,2025-05-21,2025-05-23,7.17,,,OK,
ABG,ABG,2022-05-10,8.0,58.0,2022-06-09,2022-06-13,190.74,,,OK,
ABKFQ^13,ABKFQ,,,,,,,,,no_daily_bars,False
ABKFQ^13,ABKFQ,,,,,,,,,no_daily_bars,False
ABKFQ^13,ABKFQ,,,,,,,,,no_daily_bars,False
ABKFQ^13,ABKFQ,,,,,,,,,no_daily_bars,False
ABLE,ABLE,,,,,,,,,no_pivot_yet,False
ABMD^22,ABMD,2012-02-16,15.0,50.0,2012-03-13,2012-03-15,22.48,,,OK,
ABMD^22,ABMD,2012-02-16,15.0,50.0,2012-03-26,2012-03-28,23.8,,,OK,
ABMD^22,ABMD,2015-08-21,5.0,27.0,2015-09-09,2015-09-11,98.9,,,OK,
ABMD^22,ABMD,2015-08-21,5.0,27.0,2015-09-17,2015-09-21,107.88,,,OK,
ABOS,ABOS,2022-09-30,3.0,30.0,2022-09-30,2022-10-04,10.97,,,OK,
ABOS,ABOS,2022-10-03,6.0,27.0,2022-11-15,2022-11-17,7.12,,,OK,
ABOS,ABOS,2023-07-17,14.0,95.0,2023-07-17,2023-07-19,11.3099,,,OK,
ABSI,ABSI,2025-02-04,14.0,102.0,2025-02-18,2025-02-20,6.33,,,OK,
ABSI,ABSI,2026-06-24,10.0,236.0,2026-06-29,2026-07-01,12.055,,,OK,
ABSI,ABSI,2026-07-14,12.0,287.0,2026-08-20,2026-08-24,10.03,,,OK,
ABTC,ABTC,,,,,,,,,no_pivot_yet,False
