IPO Only
2025-07-01

Ticker,Name,Start,End,Pct,Rank,Sector,Industry,MktCap,Price,EPSExclXorGr%PYQ,SalesPSGr%PYQ,EPSExclXorGr%TTM,SalesPSGr%TTM,ROE%TTM,#Institution,Inst%Own,InstNetPurch,
TPG,"TPG, Inc.",51.40,40.55,-21.11,86.30,Finance,N/A,20735.21,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CRBG,"Corebridge Financial, Inc.",34.17,28.63,-16.20,86.17,Finance,N/A,20382.62,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SOFI,"SoFi Technologies, Inc.",18.12,17.93,-1.05,85.30,Finance,N/A,18838.56,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
DUOL,"Duolingo, Inc.",397.00,115.02,-71.03,85.17,Technology,N/A,18609.60,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
VIV,Telefonica Brasil SA,10.93,13.16,20.45,84.89,Telecommunications,N/A,18099.70,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RYAN,"Ryan Specialty Holdings, Inc.",65.03,37.76,-41.94,84.53,Business Services,N/A,17585.64,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
XPEV,"XPeng, Inc.",18.37,13.24,-27.93,84.50,Consumer Cyclicals,N/A,17581.96,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
KSPI,Kaspi.kz JSC,80.79,86.64,7.24,84.48,Finance,N/A,17300.26,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RBRK,"Rubrik, Inc.",85.58,80.28,-6.19,84.19,Technology,N/A,16897.07,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ONON,On Holding AG,53.70,35.42,-34.04,84.14,Consumer Cyclicals,N/A,16803.12,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
